天 地
绛县老 伯州犁
测蠡 然犀
榆槐堪作阴 桃李自成蹊
投巫救女西门豹 赁浣逢妻百里奚
阙里门墙，陋巷规模原不陋 隋堤基址，迷楼踪迹亦全迷
越 赵
楚 齐
柳岸 桃溪
纱窗 绣户
画阁 香闺
修月斧 上天梯
螮蝀 虹霓
行乐游春圃 工谀病夏畦
李广不对空射虎 魏明得立为存麑
按辔徐行，细柳功成劳天敬 闻声稍卧，临泾名震止儿啼
门 户
陌 街
枝叶 根荄
斗鸡 挥尘
凤髻 鸾钗
登楚岫 渡秦淮
子犯 夫差
石鼎龙头缩 银针雁翅排
百年诗礼延余庆 万里风云入壮怀
能辨名伦，死倚野哉悲季路 不由经靴，生乎愚也有高柴
冠 履
靴 鞋
海角 天涯
鸡人 虎旅
六市 三阶
阵俎豆 戏堆埋
皎皎 皑皑
贤相聚东阁 良朋集小斋
梦里山川书越绝 枕边风月记齐谐
三径萧疏，彭泽高风怡五柳 六朝华贵，琅琊佳气种三槐
勤 俭
巧 乖
水榭 山斋
冰桃 雪藕
漏箭 更牌
寒翠袖 贵金钗
慷慨 诙谐
竹径风声籁 花溪月影筛
携囊佳韵随时贮 荷锄沉酣到处埋
江海孤踪，雪浪风涛惊旅梦 乡关万里，烟峦云树切归怀
祀 梓
桧 楷
水泊 山崖
舞裙 歌袖
玉陛 瑶阶
风入袂 月盈怀
虎兕 狼豺
马融堂上帐 羊侃水中斋
北面黉宫宜拾芥 东巡岱畤定燔柴
锦缆春江，横笛洞箫通碧落 华灯夜月，遗簪堕珥遍香街
春 夏
喜 哀
大手 长才
风清 月朗
地阔 天开
游阆苑 醉蓬莱
七政 三台
青龙壶老杖 白燕玉人钗
香风十里望仙阁 明月一天思子台
玉橘冰桃，王母几因求道降 蓬舟藜杖，真人原为读书来
朝 暮
去 来
庶矣 康哉
马肝 鸡肋
杏眼 桃腮
佳兴适 好怀开
朔雪 春雷
云移鸰鹊观 日晒凤凰台
河边淑气迎芳草 林下轻风待落梅
柳媚花明，燕语莺声浑是笑 松号柏舞，猿啼鹤唳总成哀
忠 信
博 该
忖度 疑猜
香消 烛暗
鹊喜 虱哀
金花报 玉镜台
倒斗 衔杯
岩巅横老树 石磴覆苍苔
雪满山中高士卧 月明林下美人来
绿柳沿堤，皆因苏子来时种 碧桃满观，尽是刘郎去后栽
莲 菊
凤 麟
浊富 清贫
渔庄 佛舍
松盖 花茵
萝月叟 葛天民
国宝 家珍
草迎金埒马 花醉玉楼人
巢燕三春尝唤友 塞鸿八月始来宾
古往今来，谁见泰山曾作砺 天长地久，人传沧海变扬尘
兄 弟
吏 民
父子 君臣
勾丁 甫甲
赴卯 同寅
折桂客 簪花人
四皓 三仁
王乔云外鸟 郭泰雨中人
人交好友求三益 士有贤妻备五伦
文教南宣，武帝平蛮开百越 义旗西指，韩侯扶汉卷三秦
申 午
侃 訚
阿魏 茵陈
楚栏 南湘
碧柳 青筠
花馥馥 叶蓁蓁
粉颈 朱唇
曹公奸似鬼 尧帝智如神
南阮才郎差北富 东邻丑女效西颦
色艳北堂，草号忘忧忧甚事 香浓南国，花名含笑笑何人
忧 喜
戚 欣
二典 三坟
佛经 仙语
夏耨 春耘
烹草韭 剪春芹
暮雨 朝云
竹间斜白接 花下醉红裙
掌握灵符五岳箓 腰悬宝剑七星纹
金锁未开，上相趋听宫漏永 株帘半卷，群僚仰对御炉薰
词 赋
懒 勤
类聚 群分
鸾箫 凤笛
带草 香芸
燕许笔 柳韩文
旧话 新闻
赫赫周南仲 翮翮晋右军
六国说成苏子贵 两京收复郭公勋
汉阙陈书，侃侃忠言推贾谊 唐廷对策，岩岩直谏有刘贲
言 笑
绩 勋
鹿豕 羊羵
星冠 月扇
把袂 书裙
汤事葛 说典殷
萝月 松云
西池青鸟使 北塞黑鸦军
文武成康为一代 魏吴蜀汉定三分
桂苑秋宵，明月三杯邀麴客 松亭夏日，薰风一曲奏桐君
卑 长
季 昆
永巷 长门
山亭 水阁
旅舍 军屯
杨子渡 谢公墩
德重 年尊
承乾对出震 叠坎对重坤
志士报君恩犬马 仁主养老察鸡豚
远水平沙，有客泛舟桃叶渡 斜风细雨，何人携榼杏花村
君 相
祖 孙
夕阳 名曛
兰台 桂殿
梅岛 山村
碑堕泪 赋招魂
报怨 怀恩
陵埋金吐气 田种玉生根
相府珠帘垂白昼 边城画角动黄昏
枫叶半山，秋去烟霞堪倚杖 梨花满地，夜来风雨不开门
家 国
治 安
地主 天官
坎男 离女
周诰 殷盘
三三暖 九九寒
杜撰 包弹
古璧虱声匝 闲亭鹤影单
燕出帘边春寂寂 莺闻枕上漏珊珊
池柳烟漂，日夕朗归青锁闼 砌花雨过，月明人倚玉阑干
肥 瘦
窄 宽
黄犬 青鸾
指环 腰带
洗钵 投竿
诛佞剑 进贤冠
画栋 雕栏
双垂白玉筋 九转紫金丹
陕右棠高怀召伯 河南花满忆潘安
陌上芳春，弱柳当风披绿线 池中清晚，碧荷承露捧玉盘
行 卧
听 看
鹿洞 渔滩
蛟腾 豹变
虎踞 龙蟠
风凛凛 雪漫漫
手竦 心酸
莺莺对燕燕 小小对端端
蓝水远从千涧落 玉山高並两峰寒
至圣不凡，嬉戏六龄陈俎豆 老莱大寿，承欢七兖舞斑斓
林 坞
岭 峦
昼永 春闲
谋深 望重
任大 投艰
裙袅袅 佩珊珊
守塞 当关
密云千里合 新月一钩弯
叔宝君臣皆纵逸 重华父母是嚣顽
名动帝畿，西蜀三苏来日下 壮游京洛，东吴二陆起云间
临 仿
吝 悭
讨逆 平蛮
忠肝 义胆
雾鬓 云鬟
埋笔冢 烂柯山
月貌 天颜
龙潜终得跃 鸟倦迹知还
陇树飞来鹦鹉绿 池筠密处鹧鸪斑
秋露横江，苏子月明游赤壁 冻雪迷岭，韩公雪拥过蓝关
寒 暑
日 年
蹴鞠 秋千
丹山 碧水
淡雨 覃烟
歌婉转 貌婵娟
雪鼓 云笺
荒芦栖南雁 疏影噪秋蝉
洗耳尚逢高士笑 折腰肯受小儿怜
郭泰泛舟，折角半垂梅子雨 山涛骑马，接篱倒看杏花天
轻 重
肥 坚
碧玉 青钱
郊寒 岛瘦
酒圣 诗仙
倚玉树 步金莲
凿井 耕田
杜甫青宵立 边韶白昼眠
豪饮客吞波底月 酣游人醉水中天
斗草青郊，几行宝马嘶金勒 看花紫陌，千里香车拥翠钿
吟 咏
授 传
乐矣 凄然
风鹏 雪雁
董杏 周莲
春九十 岁三千
钟鼓 管弦
入山逢宰相 无事即神仙
霞映武陵桃淡淡 烟荒隋堤柳绵绵
七碗月团，啜罢清风生腋下 三千钟鼓，饮余红雨晕腮边
中 外
后 先
树下 花前
玉柱 金屋
叠嶂 平川
孙子策 祖生鞭
盛席 华筵
解醉知茶力 愁消识酒权
丝剪芰荷开车沼 锦妆凫雁泛温泉
帝女衔石，海中遗魄为精卫 蜀王叫月，枝上游魂化杜鹃
琴 管
斧 瓢
水怪 花妖
秋声 春色
白缣 红绡
臣五代 事三朝
斗柄 弓腰
醉客歌金缕 佳人品玉箫
风定落月闲不扫 霜余残叶湿难烧
千载兴周，尚父一杆投渭水 百年霸越，钱王万弩射江潮
荣 悴
夕 朝
露地 云霄
商彝 周鼎
殷镬 虞韶
樊素口 小蛮腰
六诏 三苗
朝天车奕弈 出塞马萧萧
公子幽兰重泛舸 王孙芳草正联镖
潘岳高怀，曾向秋天吟蟋蟀 王维清兴，尝于雪夜画芭蕉
耕 读
牧 樵
琥珀 琼瑶
兔毫 鸿爪
桂楫 兰桡
鱼潜藻 鹿藏蕉
水远 山遥
湘灵能鼓瑟 嬴女解吹箫
雪点寒梅横小院 风吹弱柳覆平桥
月牖通宵，绛蜡罢时光不减 风帘当昼，雕盘停后篆难消
诗 礼
卦 爻
燕引 鸾调
晨钟 暮鼓
野馔 出肴
雉方乳 鹊始巢
猛虎 神獒
疏星浮荇叶 皓月上松梢
为邦自古推瑚琏 从政于今愧斗筲
管鲍相知，能交忘形胶漆友 蔺廉有隙，终为刎颈生死交
歌 舞
笑 嘲
耳语 神交
焉乌 亥豕
獭髓 鸾胶
宜久敬 莫轻抛
一气 同胞
祭尊甘皮被 张禄念绨袍
花径风来逢客访 紫扉月到有僧敲
夜雨中园，一颗不雕王子柰 秋风江上，三重曾卷杜公茅
衙 舍
廪 庖
玉磬 金铙
竹林 梅岭
起凤 腾蛟
鲛绡帐 兽锦袍
露果 风梢
杨州输橘柚 荆土供菁茅
断蛇埋地称孙叔 渡蚁作桥识宋郊
好梦难成，蛩响阶前偏唧唧 良朋远到，鸡声窗外正啁啁
茭 茨
荻 蒿
山麓 江螯
莺簧 蝶板
麦浪 桃涛
骐骥足 凤凰毛
足誉 嘉褒
文人窥蠹简 学士书兔毫
马援南征载薏苡 张骞西使进葡萄
辩口悬河，万语千言常亹亹 词源倒峡，连篇累牍自滔滔
梅 杏
李 桃
棫朴 旌旄
酒仙 诗史
德泽 恩膏
悬一榻 梦三刀
拙逸 贵劳
玉堂花烛绕 金殿月轮高
孤山看鹤盘云下 蜀道闻猿向日号
万事从人，有花有酒应自乐 百年皆客，一丘一壑尽吾豪
台 省
署 曹
分袂 同袍
鸣琴 击剑
返辙 回艚
良借箸 操提刀
香茶 醇醪
滴泉归海大 蒉土积山高
石室来客煎雀舌 书堂宾至煮羊羔
被谪贾生，湘水凄凉吟服鸟 遭谗屈子，江潭憔悴著离骚
微 巨
少 多
直干 平柯
蜂媒 蝶使
雨笠 烟蓑
眉淡扫 面微酡
妙舞 清歌
轻衫裁夏葛 薄袂剪春萝
将相兼行唐李靖 霸王杂用汉萧何
月本阴精，岂有羿妻曾窃药 星为夜宿，浪传织女漫投梭
慈 善
虐 苛
缥缈 婆娑
长杨 细柳
嫩蕊 寒莎
追风马 挽日戈
玉液 金波
紫诏衔丹凤 黄庭换白鹅
画阁江城梅作调 兰舟夜渡竹为歌
门外雪飞，错认空中飘柳絮 岩边瀑响，误疑天半落银河
松 竹
荇 荷
薜荔 藤萝
梯云 步月
樵唱 渔歌
升鼎雉 听经鹅
北海 东坡
吴郎哀废宅 邵子乐行窝
丽水良金皆待冶 崑山美玉总须磨
雨过黄州，琉璃色灿华清瓦 风来帝苑，荷芰香飘太液波
笼 槛
巢 窝
及第 登科
冰清 玉润
地利 人和
韩擒虎 荣架鹅
青女 素娥
破头朱澼笏 折齿谢鲲梭
留客酒杯应恨少 动人诗句不须多
绿野凝烟，但听村前双牧笛 绝江积雪，唯看江上一渔蓑
清 浊
美 嘉
鄙吝 矜夸
花须 柳眼
屋角 檐牙
志和宅 博望槎
秋实 春华
乾炉烹白雪 坤鼎炼丹砂
深宵望冷沙场月 边塞听残野戍笳
满院松风，鱼声隐隐为僧舍 半窗花月，锡影侬侬是道家
雷 电
雾 霞
蚁阵 蜂衙
寄梅 怀橘
酿酒 烹茶
宜男草 益母花
杨柳 蒹葭
班姬辞帝辇 蔡琰泣胡笳
舞榭歌楼千万尺 竹篱茅舍两三家
珊枕半床，月明时梦飞塞外 银筝一奏，花落处人在天涯
圆 缺
正 斜
笑语 咨嗟
沈腰 潘鬓
孟笋 卢茶
百舌鸟 两头蛇
帝里 仙家
尧仁敷率土 舜德被流沙
桥上授书曾纳履 壁间题句已笼纱
远塞迢迢，露碛风沙何可极 长沙渺渺，雪涛烟浪信无涯
疏 密
朴 华
义鹘 慈鸦
鹤群 雁阵
白苎 黄麻
读三到 吟八叉
肃静 喧哗
围棋兼把钩 沉李并浮瓜
羽客片时能煮石 孤禅千劫似蒸沙
党尉粗豪，金帐笼香斟美酒 陶生清逸，银珰融雪啜团茶
台 阁
沼 塘
朝雨 夕阳
游人 隐士
谢女 秋娘
三寸舌 九回肠
玉液 琼浆
秦皇照胆镜 徐肇返魂香
青萍夜啸芙蓉匣 黄卷时摊薜荔床
元亨利贞，天地一机成化育 仁义礼智，圣贤千古立纲常
红 白
绿 黄
昼永 更长
龙飞 凤舞
锦缆 牙樯
云弁使 雪衣娘
故国 他乡
雄文能徙鳄 艳曲为求凰
九月高风惊落帽 暮春闲水喜流觞
僧占名山，云绕茂林藏古殿 客栖胜地，风飘落叶响空廊
衰 壮
弱 强
艳饰 新妆
御龙 司马
破竹 穿杨
读班马 识求羊
水色 山光
仙棋藏绿橘 客枕梦黄梁
池草入诗因有梦 海棠带恨为无香
风起画堂，帘箔影翻青荇沼 月斜金井，辘轳声度碧梧樯
臣 子
帝 王
日月 风霜
乌台 紫府
雪牖 云房
香山社 书锦堂
茅屋 岩廊
芬椒涂内壁 文杏饰高墙
贫女幸分东壁影 幽火高卧北窗凉
绣阁探春，丽日半笼青镜色 水亭醉夏，薰风常透碧筒香
形 貌
色 声
夏邑 周京
江云 涧树
玉磬 银筝
人老老 我卿卿
晓燕 春莺
玄霜舂玉杵 白露贮金茎
贾客君山秋弄笛 仙人缑岭夜吹笙
帝业独兴，尽道汉高能用将 父书空读，谁言赵括善用兵
功 业
性 情
月上 云行
乘龙 附骥
阆苑 蓬瀛
春秋笔 月旦评
东作 西成
隋珠光照乘 和璧价连城
三箭三人唐将勇 一琴一鹤赵公清
汉帝求贤，诏访严滩逢故旧 宋廷优老，年尊洛社重耆英
昏 旦
晦 明
久雨 新晴
蓼湾 花港
竹友 梅兄
黄石叟 丹邱生
犬吠 鸡鸣
暮山云外断 新水月中平
半榻清风宜午梦 一犁好雨趁春耕
王旦登庸，误我十年迟作相 刘蕡不弟，愧他多士早成名
庚 甲
己 丁
魏阙 彤庭
梅妻 鹤子
珠箔 银屏
鸳浴沼 鹭飞汀
鸿雁 鹡鸰
人间寿者相 天上老人星
八月好修攀桂斧 三春须系护花铃
江阁凭临，一水净连天际碧 石栏闲倚，群山秀向雨余青
危 乱
泰 宁
纳陛 超庭
金盘 玉箸
泛梗 浮萍
群玉圃 众芳亭
旧典 新型
骑牛闲读史 牧豕自横经
秋首田中禾颍重 春余园内菜花馨
旅次凄凉，塞月江风皆惨淡 筵前欢笑，燕歌赵舞独娉婷
苹 蓼
角 菱
雁弋 鱼罾
齐纨 鲁绮
蜀锦 吴绫
星渐没 日初生
九聘 三征
萧何曾作吏 贾岛昔为僧
贤人视履循规矩 大匠挥斤校准绳
野渡春风，人喜乘潮移酒舫 江天暮雨，客愁隔岸对渔灯
谈 吐
谓 称
冉闵 颜曾
侯赢 伯噽
祖狄 孙登
抛白纻 宴红绫
胜友 良朋
争名如逐鹿 谋利似趋蝇
仁杰姨惭周不仕 王陵母识汉方兴
句写愁容，浣花寄迹传工部 诗吟变乱，凝碧伤心叹右丞
荣 辱
喜 忧
缱绻 绸缪
吴娃 越女
野马 沙鸥
茶解渴 酒消愁
白眼 苍头
马迁修史记 孔子作春秋
莘野耕夫闲举耜 渭滨渔夫晚垂钩
龙马游河，羲帝因图而画卦 神龟出洛，禹王取法以明筹
冠 履
舄 裘
院小 庭幽
面墙 膝地
错智 良筹
孤嶂耸 大江流
芳泽 圆邱
花潭来越唱 柳屿起吴讴
莺懒燕忙三月雨 蛩催蝉退一天秋
钟子听琴，荒径入林山寂寂 谪仙捉月，洪涛接岸水悠悠
鱼 鸟
鹡 鸠
翠馆 红楼
七贤 三友
爱日 愁秋
虎类狗 蚁如牛
列辟 诸侯
陈唱临春乐 隋歌清夜游
客中事业麒麟阁 地下文章鹦鹉洲
旷野平原，猎士马蹄轻似箭 斜风细雨，牧童牛背稳如舟
歌 曲
啸 吟
往古 来今
山头 水面
远浦 遥岑
勤三上 惜寸阴
茂树 平林
卞和三献玉 杨震四知金
青皇风暖催芳草 白帝城高急暮砧
绣虎雕龙，才子窗前挥彩笔 描鸾刺凤，佳人帘下度金针
瞪 眺　涉 临　
瑞雪 甘霖
主欢 民乐
交浅 言深
耻三战 示七擒
顾曲 知音
大车行槛槛 驷马骤骎骎
紫电青虹腾剑气 高山流水识琴心
屈子怀君，极浦吟风悲泽畔 王郎忆友，扁舟卧雪访山阴
宫 阙
庭 龛
水北 天南
蜃楼 蚁郡
伟论 高谈
遴妃梓 树楩楠
得一 函三
八宝珊瑚枕 双珠玳瑁簪
萧王待士心推赤 卢相欺君面独蓝
贾岛诗狂，手拟敲门行处思 张颠草圣，头能濡墨写时酣
闻 见
解 谙
三橘 双柑
黄童 白叟
静女 奇男
秋七七 径三三
海色 山岚
鸾声何嘁嘁 虎视正眈眈
仪封疆吏知尼父 函谷关人识老聃
江相归池，止水自盟真是止 吴公作宰，贪泉虽饮亦何贪
宽 猛
冷 炎
清直 尊严
云头 雨脚
鹤发 龙髯
风台谏 肃堂廉
保泰 鸣谦
五湖归范蠡 三径隐陶潜
一剑成功堪佩印 百钱满挂便垂帘
浊酒停杯，容我半酣愁际饮 好花傍座，看他微笑悟时拈
连 断
减 添
淡泊 安恬
回头 极目
水底 山尖
腰袅袅 手纤纤
凤卜 鸾占
开田多种粟 煮海尽成盐
居同九世张公艺 思给千人范仲淹
箫弄凤来，秦女有缘能跨羽 鼎成龙去，轩臣无计得攀髯
人 己
爱 嫌
举止 观瞻
四知 三语
义正 辞严
勤雪案 课风檐
漏箭 书签
文繁归獭祭 体艳别香奁
昨夜题梅更一字 早春来燕卷重帘
诗以史名，愁里悲歌怀杜甫 笔经人索，梦中显晦老江淹
栽 植
薙 芟
二伯 三监
朝臣 国老
职事 官衔
鹿麑麑 兔毚毚
启牍 开缄
绿杨莺睍睆 红杏燕呢喃
半篱白菊娱陶令 一枕黄粱度吕岩
九夏炎飙，长日风停留客骑 三冬寒冽，漫天雪浪驻征帆
梧 杞
柏 杉
夏濩 韶咸
涧瀍 溱洧
巩洛 峭函
藏书洞 避诏岩
脱俗 超凡
贤人羞献媚 正士嫉工谗
霸越谋臣推少伯 佐唐藩将重浑瑊
邺下狂生，羯鼓三挝羞锦袄 江州司马，琵琶一曲湿青衫
袍 笏
履 衫
匹马 孤帆
琢磨 雕镂
刻划 镌镵
星北拱 日西衔
卮漏 鼎馋
江边生桂若 海外树都咸
但得恢恢存利刃 何需咄咄达空函
彩凤知音，乐典后夔须九奏 金人守口，圣如尼父亦三缄
