无奈荔支何，前度来迟今又早	相思桃叶杳，主人已去客犹留
五百年逃墨归儒，跨开元之顶上	十二峰送青排闼，自天宝以飞来
眼前百姓即儿孙，莫谓百姓可欺，且留下儿孙地步	堂上一官称父母，漫说一官易做，还尽些父母恩情
冷官兴教有专司，敢荒厥职	多士通经当大用，先学为人
校经愿学顾千里	佞宋遥分黄一廛
公羊传经，司马纪史	白虎德论，雕龙文心
智水仁山，在此堂宇	经神学海，发为文章
愿得广厦千万间，大庇天下寒士	我后使君十五载，来看楼上秋山
江上清风	秦时明月
非公无澹台至室	尚武有子路升堂
日暮乡关何处是	古来征战几人还
太华作云，散为霖雨	潞川学海，清到源头
臣而帝，武而神，庙祀普天，下通民社	澧在南，溇在北，江流遗恨，远汇荆门
以神媒配皇煌帝谛之尊，道在人伦，不使衣冠沦异族	继太昊俾天柱地维无恙，世留庙食，犹余社鼓走村翁
明刑剂梭伦商鞅诸家之平，此署为上江百城领袖	折狱求天理人情二者相合，是谋即司法独立精神
司法著为特权，孟德斯鸠揭政家创论	沛人古多奇杰，汉萧相国亦法律专家
世界三权，法亦特权，独立示尊严，窃愿后有来者	西南诸国，滇为大国，百城忝表率，相期下无冤民
我也曾为冤枉痛入心来，敢糊涂忘了当日	汝不必逞机谋争个胜去，看终久害着自家
莫寻仇，莫负气，莫听教唆，到此地费心费力费钱，就胜人，终累己	要酌理，要揆情，要度时势，做这官不清不勤不慎，易造孽，难欺天
花明树暗全依水	地少人多半借山
一肩风月谁担去	六面湖山自拥来
放出一头真得地	养成六翮便冲天
支颐独引看山兴	曝背闲听击壤歌
三升椒雨祛寒捷	一榻棃云入梦香
鄱水东来争此土	吴城南望爱吾庐
隐居欲起三层阁	蒙叟先开五石尊
高处星云归一览	闲时风月胜三休
花香扑座浓于麝	树隙营巢拙似鸠
因树为庐花当壁	得书如产砚犹田
高登百尺楼，倏尔废，倏尔兴，四顾岸然，此何关天行人治	俯视万家县，亦有忧，亦有乐，诸君观者，莫空话尊酒斜阳
万响不可静	一层巍然高
五雷突兀瞰窗立	二水蜿蜒吞郭流
一太极图开道统	两程夫子出门墙
如此青山，片石三生无限恨	是何黄土，十年双葬可怜人
万象在旁，莫嫌眼底乾坤小	一拳打碎，要使胸中块垒平
胜地难逢，莫把眼前错过	众山罗列，最宜雨后来登
壮县伟观，问李群玉溇水亭今安在哉？惟此高楼，撑天无恙	发人远慨，笑袁世凯皇帝梦亦已醒否？愿吾民主，历祀永宁
羊角牛头如剑立	燕岩鸳涌绕栏来
谁谓将略非其所长，当时予智矜才，终逊此一生谨慎	可惜天心未曾厌乱，至今知人论世，岂徒传两表文章
闭门种菜	开阁延宾
锦里春风公占却	草堂人日我归来
许我读崔镳五千卷	随人吊汉景十三王
五七怀国耻	楩楠富楚材
一亭雄楚望	百里见潇湘
望衡九面	瞰郭万家
老僧狞视风云笑	禹碑耻争岳麓名
天地苍茫，前不见古人，后不见来者	心胸开拓，块以视衡岳，杯以视洞庭
苍天已死，黄天当立，来日大难，登斯楼也	人心唯危，道心唯微，群儿相贵，卜之鬼乎
薜荔惊秋，长沙旧是招魂地	梓桑展敬，浙水还谋归骨期
炎汉太宗，长沙清庙	襟江千里，带郭万家
翠微一拳，对立人纪	湖水千尺，清见母心
积翠一岫冷	蹲湖二坊高
较量人世无穷乐	罗列人间未有书
天半朱霞，云中白鹤	山间明月，江上清风
田园松菊岂无志	魏阙江湖同此心
岩姿壑籁有神会	郢雨湘烟来画图
慈目净心法相	和风甘雨祥云
两间待人而三	万物与我为一
坐忘务学颜三益	行己须遵孔一言
彼何人，予何人，都是穿衣吃饭	穷亦命，达亦命，不如闭户读书
眼见许多华屋山丘，可以悟矣	天生一具铜筋铁骨，将安用之
泪酸血咸，悔不该手辣口甜，只道世间无苦海	金黄银白，但见了眼红心黑，那知头上有青天
子亦来见我乎	吾得请于帝矣
任凭你无法无天，到今孽镜悬时，还有胆否	须知我能宽能恕，且把屠刀放下，回转头来
粒我蒸民，使有菽粟如水火	播时百谷，先知稼穑之艰难
一画本天开，破上古洪荒，草昧无须绳更结	六书随世换，供后人摹写，英雄未免笔难投
无以为宝，唯善以为宝，则财恒足矣	义然后取，人不厌其取，又从而招之
我非爱财，骑虎不能下背	人如求富，执鞭亦所甘心
破拐子马者此刀，史书麻扎	降旁不肯以保稼，功比蓐收
卧虎保岩畺，狂寇不教匹马返	驱蝗成稔岁，将军合号百虫来
亦知吾故主尚存乎，从今日遍逐天涯，且休道千钟万驷	曾许汝立功乃去耳，倘他日相逢歧路，又肯忘尊酒绨袍
荆州形胜即中原，得之则进取易，失之则退守难，天意苍茫，莫怪公犹立马	壮武大名垂宇宙，生不为曹氏臣，死不作孙家妾，人心维系，遂令我欲登龙
地居廉让之间，二分流水，三分农圃	学有经济者贵，半部论语，一部春秋
绛灌功名，千年如生，痛袭荆陷桧，两皆未用功名，终是人国不祥，故人国即从而陨获	江湖门户，九澧之蔽，稽拒魏禽么，独毅然遮门户，战为地方作卫，斯地方永报以馨香
飞气吐长虹，天与大江成锁钥	骞身摘星斗，人从绝顶看光芒
忠臣魂，烈士魄，英雄气，名贤手笔，菩萨心肠，合古今天地之精灵，同此一山结束	蠡水烟，湓浦月，浔江涛，马当斜阳，匡庐瀑布，挹南北东西之胜景，全凭两眼收来
燹前楼阁未成灰，只剩得半折磬，一卷经，五更钟，六月凉风，三冬积雪	雨后园林无限好，最爱是百本蕉，千条柳，万竿竹，数声啼鸟，几寸游鱼
瀑从何来，人言较冀盘山、越天台、赣匡庐，其倒海翻江尤诡	楼不在大，我愿携晋庾亮、宋谢朓、唐崔灏，为赋诗载酒之游
登楼目眩，有水无地	对瀑耳聋，不云常雷
地球倒转海上立	天汉下垂云横崩
四百八十寺，过眼成墟，幸岚影江光，犹有天然好图画	三万六千场，回头是梦，问善男信女，可知此处最清凉
吃惠州饭，和渊明诗，陶云吾云，赋就一篇归去好	判维摩凭，到东坡界，人相我相，笑看二士往来同
岭海答传书，七百年佛地因缘，不仅高楼临白傅	岷峨回远梦，四千里仙踪游戏，尚留名刹配黄州
一瓦一椽，一粥一饭，檀那脂膏，行人血汗，尔戒不持，尔事不办，可惧可忧，可嗟可叹	一时一日，一月一年，流光易度，幻影匪坚，凡心未了，圣果未圆，可惊可怖，可悲可怜
只手挽狂澜，战事方殷，好统孤军援楚北	一心辅民国，神威默定，直教八日定江南
胜地南徐山北固	大江东去我西来
但令此心无所住	须知绝顶谁能穷
水木湛清华，金焦而外，又益名区，却忆向岁经营，江友风流贤大守	春秋多佳日，簿领余闲，偶来游眺，犹记故乡仿佛，济南潇洒大明湖
数点梅花亡国泪	二分明月老臣心
何处吊公坟，看十里平山，空余蔓草	到来怜我晚，只二分明月，曾照梅花
殉社稷只江北孤城，剩水残山，尚留得风中劲草	葬衣冠有淮南抔土，冰心铁骨，好伴取岭上梅花
振锡冈前猿献果	挈瓶泉畔鹭翘沙
六朝山色收杯底	千里江声到枕边
登楼便欲凌云去	临水应知得月先
未忘陈迹在京江，浮湘汉而来，到此登楼，岂但胸中小云梦	却喜善缘结甘露，叹孙吴已往，自公作古，何曾眼底有金焦
北固暂停槎，纵我双眸，看无边风月	东瀛方用武，问谁只手，扶第一江山
杯酒吊南朝，空余半壁残山，长向江流作砥柱	梯云登北固，愿借一杯甘露，化为霖雨洒苍生
此身不觉出飞鸟	垂手还堪钓巨鳌
江海拥三山，揽全吴胜	乾坤擎一柱，障百川东
长江此天堑	中国有圣人
苍茫海水连江水	罗列他山助我山
临流口汲西江水	隔岸拳擎北固山
人莫心高，自有生成造化	事由天定，何须苦用机关
伊谁鼓棹来游，云移帆影	试起开窗凭眺，月卧浮图
活水有源头，万顷雨盈旸不涸	崇冈多好处，片云朝去暮还来
流与峙并佳，三山独聚	地因人擅胜，千古称雄
拍板征歌，唱大江东去	举杯邀影，待明月西来
云连鹰岛白	水抱象山青
彭郎之来自澎浪	焦先而后有椒山
夕阳无限好	高处不胜寒
潮平两岸阔	江上数峰青
先主本仁慈，恨兹污吏贪官，断送六七王统绪	藐躬实惭德，望尔谋臣战将，重新十八省山川
马上得之，马上治之，造亿万年太平有道于弓刀锋镝之间，斯诚健者	东面而征，南面而征，救廿一省无罪顺民于水火倒悬之会，是曰仁人
海气百重楼，总为浮云能蔽日	文章千古事，生逢异代不同时
秋色从西来，雁门紫塞	明月几时有，玉宇琼楼
吾道非耶，六经以外无文章，韩山屹立	征夫遑止，太行之阳有盘谷，李愿归来
积石导流趋大海	崆峒倚剑上层霄
中圣人之清，有如此水	取醉翁之意，以名吾亭
甘或如醴，淡或如水	无即学佛，有即学仙
洪水龙蛇循轨道	青春鹦鹉起楼台
虽豪杰难免过差，愿诸君谠论忠言，常攻吾短	凡堂属略同师弟，使僚友行修名立，方尽我心
我辈复登临，昔人已乘黄鹤去	大江流日夜，此心吾与白鸥盟
有一刻闲，且勤我职	无十分屈，莫入吾门
不遑宁居，一官领百里	亦有远志，百姓如一家
蓄马蕃，父子宁，志未逮也	货财去，佞人远，过或寡欤
柳子以种树传喻民治，是曰息事宁人	次山亦大兵后来舂陵，不妨高瞻远瞩
地是赤松旧游处	人从昆仑顶上来
百战余生，不知老之将至	一命有责，须尽力所当为
珠帘暮卷西山雨	阁道回看上苑花
灯影幢幢，凄绝暗窗吹雨夜	荻花瑟瑟，魂销明月满窗时
记故乡亦有仙潭，看一样湖光，添得石桥长九曲	至此地宜邀明月，问谁家秋思，吹残玉笛到三更
桃花流水杳然去	油壁香车不再逢
南岳西泠，大地茅庐两个	吴头楚尾，中流砥柱一人
横笛一声，延西泠十二桥明月	登楼长啸，和凤林百八杵钟声
把酒涤凡襟，任天涯草绿，世界尘红，此心澄似双江水	凭栏豁望眼，看细雨帆樯，夕阳楼阁，胜概多于六岭春
云带钟声穿树去	风吹帆影过江来
好景欲仙，何必重寻三岛	引人入胜，尤须更上一层
唤彼竟奚为，莫贪著蜗角微名，蝇头细利	临行何所赠，好记取东城白水，北郭青山
看下方扰扰红尘，富贵几时，只抵五更炊黍梦	溯上界茫茫浩劫，神仙不老，全凭一点度人心
音亦可观，方算聪明无二用	佛何称士，须知儒释有同源
大海茫茫，到无岸无边，视于天，天高在上	飘风发发，正可危可惧，徯我后，后来其苏
万里神通，渡海遥分功德水	六朝都会，环山长护吉祥云
宗臣遗像肃清高，在天成形，在地成象	山川出云作霖雨，有仙则名，有龙则灵
古刹有真如，最庄严七层宝塔	老僧无障碍，大供养一个庐山
云气欲为天下雨	珠光常拥佛前灯
老衲近寻雷岳去	天风远送叆云来
此是人间第几福地、几洞天，怪道书无传者	安得世外有一桃源、一渔父，避秦暴共居之
至德无称，三让两家天下	高山可仰，一抔万古江南
隔涧与张翰林抔土相邻，孝子诗人，同有千古	读碑感连处士遗风而起，贩夫牧竖，亦尊五伦
帝旌其行，民视其德	人伦之至，孺慕之诚
血恨千年，秋后愁闻唱诗鬼	空山片石，苍然如待表阡人
澧水有源，饮水还寻故里水	彭山主我，出山仍住自家山
管子天下才，霸图表海盐专卖	东坡宦游地，吏隐即仙心太平
理财为国	笼利入官
光黄间多异人，愿诸君临存，不忘攻吾短	盐铁官诚俗吏，彻一事终始，方算尽我心
致远钩深，此处好放开眼界	居高临下，到来须站定脚跟
西望关中，百战十年空鸟兔	北临绵上，千秋一例感龙蛇
从龙逐鹿两茫然，我思妙用无方，何害英雄与儿女	黄石赤松皆戏耳，独怪全身有术，不遭烹醢即神仙
元龙币聘以来，泽被广陵，到此日青囊未烬	孟德头颅安在，烟消漳水，让先生碧血常新
大儒以胞与为怀，小数得名，莫匪术耳	汉室有心腹之患，神针难救，岂非天哉
愿病者勿药	为良医活人
俾凡民无夭札	与造化争功能
疾苦疮痍，一反手奏效	望闻问切，三折肱程功
才与福难兼，贾傅以来，文字潮儋同万里	地因人始重，河东而外，江山永柳各千秋
古犹登第厚颜，安知今之必异	鸟尚衔枝封树，可以人而不如
奈宋衰运何，倘竟能恢厥壮猷，真成元祐匡时相	非长公志也，不得已出其余绪，犹是文章大作家
五年间谪宦栖迟，试较量惠州麦饭，儋耳蛮花，那得此清幽山水	三苏中天才独绝，若尚论东坡八诗，赤壁两赋，是我公游戏文章
夫死妇亦死	君亡明即亡
由秀才封王，为天下读书人别开生面	驱异族出境，语国中有志者再鼓雄风
坚城垂拔，壮士先摧，当时若失左右手	百战论功，一言决策，如公可谓文武才
一抔荒土苍梧泪	百尺高楼碧血碑
慷慨志犹存，一瞑奚惜	名节事极大，十族何妨
嘉名远并西湖，异代恩加忠肃谥	文藻应留故宅，金川人记浩然堂
执节坐庭南，百折不回，应知鼎石肝肠皆铁	奇忠钟塞外，寸磔以报，谁识先生色目中人
绯衣坦腹旧有征，讵料抄延瓜蔓	赤色异星急犯座，从知谶应天文
管仲不为，十族惨于真召忽	成王安在，一言愧煞假周公
君子无所争，立纲常，扶名教	大臣不可辱，惊风雨，泣鬼神
明月梅花，拜祁连高冢	疾风劲草，识板荡忠臣
公去社已屋	我来梅正花
立朝与天子宰相争是非，悉宗社远谋，根本大计	居恒共师弟友朋相讲习，惟至善准则，小心工夫
流血武昌，喋血亦武昌，革命后先，庚子七月，辛亥八月	殉名烈士，无名尤烈士，成仁彪炳，苏州五人，长沙九人
身后是非，盲女村翁多乱说	眼前热闹，解元才子几文钱
此湖此水不深浅	放鹤招鹤成古今
老屋付东流，只剩两三星火	新居依北固，平分左右金焦
天旌厥事事乃集	江裹此山山不浮
弹指皆空，玉局可曾留带去	如拳不大，金山也肯过江来
出谷万千状	此亭四百年
胜国幅员无寸土	尚书结构有孤亭
蚡冒勤民，筚路山林三代化	陶公讲武，营门官柳四时春
六曲阑干春昼永	万家台笠雨声甘
经纶天下	衣被苍生
财力雄富	士马精妍
宇宙大文章，原从孝友	古今名将相，气作星辰
香火有缘，当白傅堤边，苏公祠畔	文章生色，似杏花二月，桂子三秋
我知功名以人重	帝其阴骘与天通
帝乃诞敷文德	天之报施善人
以斗量才，问何人能当一石	如金惜墨，看此日横扫千军
天下名山僧占多，也该留一二奇峰，栖吾道友	世间好语佛说尽，谁识得五千妙论，出我先师
十四州一剑霜寒，辟门天子，闭门节使	三五夜群婓玉艳，陌上花开，江上潮来
泛洞庭湖八百里秋波，挂席来游，三楚风涛携袖底	邀太白楼一千年明月，凭栏远眺，六朝烟景落杯前
此乡仍侠窟遗风，万丈白虹马生角	何处访战场余事，一堆黄土豹留皮
依然平地楼台，往事无忘宣榭警	犹值来朝车马，清对喜赋柏梁篇
先辈声名满天下	后来兴起望吾曹
游宦到钱塘，饮水思源，喜两浙东西，与歙浦江流相接	钟灵自灊岳，登高望远，问双峰南北，比皖公山色何如
肩齐洛下东西陆	胸贮淮南大小山
萃雍梁荆豫于一堂，那堪羌笛胡笳，听折柳唱黄河远上	走燕赵齐秦者万里，自笑短衣匹马，又摇鞭踏紫塞归来
三辅滞书邮，落木秋风衡岳雁	两湖话土物，桃花春水武昌鱼
果园群木绿浮几	津市繁灯红到门
到处便为家，望楚尾吴头，异地同临明月色	他年谁是主，合衡峰鄂渚，天涯都作比邻看
宾馆喜重逢，同上吴城观落日	乡关杳何处？却寻衡岳望归云
地势据上游，遥遥控滇黔秦陇，切盼销兵，天府称雄，此邦不亚江南好	皇华来益部，历历咨民物山川，壮怀叱驭，锦城云乐，吾辈休歌蜀道难
秋来黄叶成村，对景忽生归棹想	雨后青山满郭，登楼常作故乡看
一堕风尘，天上玉堂如昨日	谁同舟楫，眼前沧海正横流
前辈风流，河朔人才犹可记	先儒乡里，考亭学派试重探
古称燕赵多慷慨悲歌之士	师法姚范以功名气节相高
黄鹤飞去且飞去	白云可留不可留
数千里奔湍激浪，到此楼前，公暇一凭阑，江汉双流相映照	十余年人物英雄，恍如梦幻，我来重访鹤，沧桑三度记曾经
白云黄鹤，四顾苍茫，有好诗传九百年前，楼阁重新谁更上	词客神仙，一流人物，看东湖在三千里外，海潮不到我能来
一枝笔挺起江汉间，到最上层，放开肚皮，直吞将八百里洞庭，九百里云梦	千年事幻在沧桑里，是真才子，自有眼界，那管他去早了黄鹤，来迟了青莲
世界八星入楼望	云间十子擅文章
此山如龙，曰唯县望	凡士附骥，因益名章
教小子如养芝兰，此日栽培须务本	愿先生毋弃樗栋，他年长大尽成材
极浦望涔阳，童冠偕来，浴沂如入春风座	党庠辅家塾，芷兰竞秀，盈畹滋为上国香
是亦大学缩影	此为正蒙始基
十室之邑有忠信	三王造士由党庠
自来学校以书院辅之，如今比屋东西，稍喜欢颜在风雨	吾为父兄望子弟成耳，此后一官南北，还将老眼看云霄
明公家法有礼堂手订之经，异日当成通德里	此地昔时多燕赵悲歌之士，为我一吊望诸君
南国祭酒，说文九千字	东邦大儒，著书数万言
东林讲学以来，必有名世	南方豪杰之士，于兹为群
七十子六艺兼通，文学溯薪传，北方未先于吴会	九百里群英毕萃，礼仪表茅蕝，东林以后有君山
两由一生，文章悬象	溪向川注，学海朝宗
科名开自大中，更期继起有人，议谥当如祠部直	山水甲于天下，何幸宦游到此，论文因悟史迁奇
教以诗书，明以人伦，童而习之，率吾子弟	既有文事，亦有武备，天所骄者，卫我国家
马上文，胯下武，枚里韩亭，彪炳经纶事业	石边孝，海底忠，徐庐陆墓，维持名教纲常
黄河水滚滚而来，文应如是	韩信兵多多益善，士亦宜然
金匮万千衷，孔子曰，孟子曰	华衮百廿纪，帝者师，王者师
浙水重敷文，看此山左江右湖，千尺峰头延俊杰	英才同树木，愿多士春华秋实，万松声里播弦歌
人只此人，不入圣，便作狂，中间难站脚	学须就学，昨既过，今又待，何日始回头
多士当收束身心，此是圣域贤关，不徒论文章巧拙	先儒幸留贻教泽，正须坐风立雪，共猛下刻苦工夫
峰聚曰嵕，须知为学本为山，平地增高，进取相期吾往也	泉甘如醴，要识作人同作酒，春风送暖，退休唯恐或寒之
修我墙屋，非直为观美也，比及三年郁郁乎文哉，于斯为盛	率其子弟，又从而礼貌之，有能一日孳孳为善者，何用不臧
设为庠序学校以教	多识草木鸟兽之名
执干戈以卫社稷	说礼乐而敦诗书
昔以孤幼旅寓申江，自伤老大无成，有类夜行须炳烛	今为童蒙特开讲舍，所望髫年志学，一般努力惜分阴
龙得云斯灵，道在通权达变	潭之水不涸，学须穷委究源
既富加教	维地承天
首化之行，地邻江汉	无人不学，女事诗书
合花木兰之武与曹大家之文，炉而冶焉，斯称教育	维溇澧水比深或道人峰比峻，学苟准是，何愧男儿
广二南化	开九澧先
言有坛宇，行有坊表，学成师范	正其衣冠，尊其瞻视，堂修礼容
涟水湘山俱有情，其秀气必钟英哲	圣贤豪杰都无种，在儒生自识指归
万顷渺清波，移情在付垞清歌，梅村艳曲	一楼摘星斗，极目有南湖明月，东塔层云
东海非遥，十丈蓬莱迎晓日	南湖无恙，一双鸳鸟弄晴波
润色湖山吾辈事	栽培花柳大家看
诗酒到今怀李白	园亭依旧访杉青
君手中彩笔是谁携来，醴陵有后人，此物合当还故主	我江上布帆偶然戾止，丛祠吊明月，今宵倘许认前因
倚槛遥看，去棹不如归棹逸	题桥偶驻，卸帆犹是挂帆时
正柳织烟绡，花明春镜	任船依断石，袖裹寒云
数百校巍峨，此有用，此有财，同志诸君，得一分权利，须尽一分义务	十万贯支给，出于民，出于土，责任在我，去个人私心，乃保个人名誉
九澧金汤，东横沧海蹲孤柱	一江铁锁，南下黄河第二桥
问产饶梓漆椅桐，四环皆山，作室以望楚矣	登高瞰澧沅汉沔，千里如带，记亭亦名快哉
与朋友共	近圣人居
经天纬地谓之文，专以新民为大略	彪外弸中觇所学，修其在我是初基
天文地文人文，专门致用	兵学农学礼学，修业益精
适子之馆，授子之粲	观其所由，察其所安
聊蔽风雨	如此江山
遗迹镇栖霞，酾酒重瞻新庙貌	大旗悬落日，撼山愿学旧军容
恨我晚来游，只落得万柄枯荷，一湖秋水	问谁能不朽，除非是六朗儿女，百战英雄
江海镇分流，一塔支云，到此潮头皆下拜	东南窥胜境，五峰接壤，让他山骨独高蹇
夫非尽人之于欤，从皇古追溯宗支，大抵形骸一脉共	是亦穷民无告者，忍若辈横陈生死，自家儿女两般看
客中客入画中画	楼外楼看山外山
四面荷花三面柳	一城山色半城湖
波上平临三塔影	湖中倒浸一轮秋
豚蹄祝篝车，愿我公神其来享	蟊贼多伏莽，请将军聚而歼旃
红杏领春风，愿不速客来醉十日	绿杨足烟水，在小新堤上第二桥
秋气满天地	春社开湖山
湖山此地曾埋玉	花月其人可铸金
波涌湖光远	山催水色深
春水绿浮珠一颗	夕阳红湿地三弓
穿牖而来，夏日清风冬日日	卷帘相见，前山明月后山山
华表千年，遗蜕应闻玄鹤语	孤山一角，暗香先返玉梅魂
祠傍水仙王，北宋尚留高士迹	树成香雪海，西湖重见古时春
梅花已老亭空鹤	处士长留山不孤
一抹斜阳，半堤芳草	几堆竹素，二顷梅花
葛井当檐，上岭刚逢日初出	孤山隔水，开尊时见鹤飞来
对此好湖山，再休提世外沧桑，人间营逐	无多新结构，且领略稚川丹诀，孤屿清风
把臂入林，呼吸湖光饮山渌	抗心希古，网罗秦汉近唐虞
梅鹤为邻，小坐依然图画	莼鲈下酒，故乡无此湖山
不愁泉冷无时热	常恐峰来更善飞
功高百辟，心在一丘，侧写前贤，其气象得诸山水以外	暮卷归云，朝临飞鸟，谁来骋坐，可慷慨而无文字之鸣
杨子怀人渡扬子	椒山命字合焦山
卧莲瓣读书，是天人福慧	见桃花悟道，须来者聪明
野老门庭云亦懒	荷花世界梦俱香
此老最多情，不独管婚嫁两事	几人得如意，要知有因果一层
画里移舟，梅边吹笛	墙头唤酒，枕上看潮
山外斜阳湖外雪	窗前流水枕前书
胜地最幽清，扶杖勾留在映波锁澜桥畔	主人癖风雅，寻诗屡集从月潭花港船来
泥上偶然留指爪	故乡无此好湖山
自蛮烟瘴海游历而还，胜地重临，凭管领六桥风月	与白傅林逋后先相望，崇祠近接，恰平分半席湖山
平生心迹最相亲，惟此醉太守	词赋擅名来已久，宜升君子堂
但是人家有遗爱	曾将诗句结风流
地连石屋双峰起	天放钱江一角来
东坡千载人，游于物表	钱塘万顷白，来自云端
四大空中，独留云住	一江缺处，远看潮来
一见问灵源，师自离山吾听水	卅年依古洞，世方沉陆我观潮
家藏八千卷	门对七二峰
楼阁矗云绾九澧	池塘喧雨战千荷
山色西来幂危堞	江声东下逼层楼
远水帆樯高阁外	危城鼓角夕阳中
所居对龙塔高台，笔锋横扫云烟净	此地据马鞍胜境，文社联吟冠盖多
帝子遗踪剩台榭	平民政策首农桑
民生事业追弃益	物质文明竞美欧
安得广厦万千，种竹权为留客地	倚遍回栏十二，惜花仍是爱才心
无命复何如，徒令上将挥神笔	未捷身先死，长使英雄泪满襟
一卧沧江惊岁晚	独凭栏槛俯崔巍
水为龙世界	云是鹤家乡
此处有濠濮间想	望之若神仙中人
一抔土尚岿然，问他铜雀荒台，何处寻漳河疑冢	三足鼎今安在？剩此石麟斜日，令人想汉代官仪
千古两梅妻，公几为多情死	西湖三少保，此独以功名终
世无遗草真能隐	山有名花转不孤
提笔四顾天地窄	长啸一声山月高
山色湖光，都归一览	英雄儿女，并艳千秋
八百里浪迹归来，相逢萍水	七二峰从头数去，尽是家山
落第寄书邮，事缘羊牧阿娇，云外神仙当尚主	中流凭砥柱，嫁得龙乘佳婿，世间才子几封王
古人忧乐关天下	何处江山非故园
五大洲文轨交通，漫将赣水源流溯	廿世纪人才寥落，当为庐山面目羞
行路最难，才数起水驿山程，少安毋躁	入关不远，莫忙逐车尘马足，且住为佳
七千里看遍名山，持节人归，颇觉家园多静景	十六亩攒成小筑，开樽客至，可知野史有余情
今不异乎古所云	我亦迫于时而起
塔影城阴可诗画	佳晴喜雨足登临
石竦亭高，频岁秋获春耕，民隐都经眼过	云开塔峙，一时抚今追昔，余怀乐与人同
果然城市有山林，除却故乡无此好	难得酒杯浇块垒，酿成危局有谁支
到此莫题诗，谁个敢为学士敌	偶然去捉月，我来甘拜酒仙狂
谁为翔渚灵妃，倒三尺金樽，杯底邀来焦岭月	我是倚楼旧主，仗一枝铁笛，袖中吹起大江潮
长风吹万里浪	海日照三神山
