一上高楼，缅当年江汉风流，多少千秋人物	双持使节，喜此日荆衡形势，纵横万里金汤
一对壁人留小影	无双国土缔良缘
一对璧人留小影	无双国士缔良缘
一对红心向四化	两双巧手绘新图
一尺布，一卷书，五夜寒灯慈母泪	蜀江清，蜀山峻，十年冰蘖远臣心
一岭桃花红锦绣	万盏银灯引玉人
一帘花影云拖地	半户书声月在天
一带林塘诗境界	四时花果隐生涯
一幅湖山来眼底	万家忧乐注心头
一序证前游，太白光芒神久在	三章怀绝调，牡丹时节我刚来
一庭花影三更月	千里松阴百道泉
一庭芳草围新绿	十亩藤花落古香
一庵卧日，一庵谈禅，我佛微笑	叶落归根，叶落粪本，化工无言
一弯西子臂	七窍比干心
一弹流水一弹月	半入江风半入云
一德君臣，同悲爱日	三吴士女，为罢端阳
一德赞襄，帝庇元臣同寿考	四时调燮，天生上相在春前
一心只念波罗蜜	三祝难忘福寿男
一心守道道无穷，穷中有乐	万事随缘缘有份，份外无求
一心常念波罗密	三祝惟求福寿男
一心念佛佛如来，鹤唳猿啼，都演出三生妙谛	千手示人人不悟，龟毛兔角，直指开四大疑团
一战而胜而退而死	三立曰德曰功曰言
一抔土尚岿然，问他铜雀荒台，何处寻漳河疑冢	三足鼎今安在？剩此石麟斜日，令人想汉代官仪
一抔荒土苍梧泪	百尺高楼碧血碑
一抔香土花仍放	二月芳辰雨未晴
一抹斜阳，半堤芳草	几堆竹素，二顷梅花
一担重泥遇子路	两堤夫子笑颜回。
一掌擎天五指三长两短	六合插地七层四面八方
一掬甘泉，好把清凉浇热客	两头岭路，须将危险告行人
一时忧乐登楼起	半壁河山带酒看
一明分日月	五岳各丘山
一曲平沙弹绿绮	半窗晴日写黄庭
一月二十九日醉	百年三万六千场
一朝弃甲成仙，不用偏裨传两晋	万劫衔杯乐圣，聊将散汉著三唐
一木焉能支大厦	欠金何必建茆亭
一枝笔挺起江汉间，到最上层，放开肚皮，直吞将八百里洞庭，九百里云梦	千年事幻在沧桑里，是真才子，自有眼界，那管他去早了黄鹤，来迟了青莲
一枪戳出穷鬼去	双钩搭进富神来
一楼何奇，杜少陵五言绝唱，范希文两字关情，滕子京百废俱兴，吕纯阳三过必醉，诗耶？儒耶？吏耶？仙耶？前不见古人，使我沧然涕下	诸君试看，洞庭湖南极潇湘，扬子江北通巫峡，巴陵山西来爽气，岳州城东道岩疆，潴者，流者，峙者，镇者，此中有真意，问谁领会得来
一楼何奇，杜少陵五言绝唱，范希文两字关表，滕子京百废俱兴，吕纯阳三过必醉，诗耶？儒耶？吏耶？仙耶？前不见古人，使我怆然涕下	诸君试看，洞庭湖南极潇湘，扬子江北通巫峡，巴陵山西来爽气，岳州城东道岩疆，潴者！流者！峙者！镇者！此中有真意，问谁领会得来
一楼萃三楚精神，云鹤俱空横笛在	二水汇百川支派，古今无尽大江流
一楼萃三楚精神，云鹤皆空残笛在	二水汇百川支派，古今无尽大江流
一歌陈麟之趾，再颂赋螽斯羽	嫁女须王右军，娶妻得阴丽华
一死亦何常奇，诸君浩劫同沦，最难堪碧海惊涛，寥天惨雾	千秋均不朽业，异日英灵如在，愿常护帆樯风转，刍粟云飞
一死便成大自在	他生须略减聪明
一死最难，异日何如今日好	千秋不朽，小星竟傍大星沉
一水印天心，指月证三生之果	六根无我相，饮泉清万劫之尘
一水抱城西，烟霭有无，拄杖僧归苍茫外	群峰朝阁下，雨晴浓淡，倚栏人在画图中
一水抱城西，烟霭有无，拄杖僧归苍茫心	群峰朝阁下，雨晴浓淡，倚栏人在画图中
一水抱城西，烟霭有无，拄杖僧归苍莽外	群峰朝阁下，雨晴浓淡，倚栏人在画图中
一水绕荒祠此地真无关节到	停车肃遗像几人得立姓名尊
一池金玉如如化	满眼青黄色色真
一泮芙蓉新出水	千层芳草远浮山
一片彩霞迎旭日	万条金缕带春烟
一片湖光比西子	千秋乐府唱南朝
一片滑石路	三椽枯木禅
一物不知，儒者之耻	片长自足，壮夫不为
一瓦一椽，一粥一饭，檀那脂膏，行人血汗，尔戒不持，尔事不办，可惧可忧，可嗟可叹	一时一日，一月一年，流光易度，幻影匪坚，凡心未了，圣果未圆，可惊可怖，可悲可怜
一生不作暖昧之事	诸君毋以笑貌为恭
一生与宰相无缘，始进时魏公误抑之，中岁时荆公力扼之，即论免役温公，亦深厌其言，贤奸虽殊，同怅君门违万里	到处有西湖作伴，通判日杭州得诗名，出守日颍州以政名，垂老投荒惠州，更寄情于佛，江山何幸，但经宦辙便千秋
一生事业唯公会	半世功名失早朝
一生俭朴留典范	半世勤芝传嘉风
一生只为名心死	六极惟将恶字除
一生在君父恩中，问何报称	凡事看儿孙分上，劝且从容
一生多是命安排，四十五十无闻，六十年华今已到	万事明知自生灭，三千大千悟澈，八千书卷不重回
一生好事无双日	百岁光阴及半时
一生好事无双日	百岁闲身得半时
一画本天开，破上古洪荒，草昧无须绳更结	六书随世换，供后人摹写，英雄未免笔难投
一病负殊恩，九派沧江怀太守	十年成大觉，二分明月吊诗人
一病负殊恩，九派清江怀太守	十年成大觉，二分明月吊诗人
一百八记钟声，唤起万家春梦	二十四番风信，吹香七里山塘
一百年弹指光阴，天胡靳此	九十载齐眉夫妇，我独何堪
一盏清茶解解解解元之渴	五言绝诗施施施施主之才
一盏灯，四个字，酒酒酒酒	三更鼓，两面锣，汤汤汤汤。
一目不明开口便成两片	廿头割断此身应受八刀
一窍有泉通地脉	四时无雨滴天浆
一篱秋老蛾眉豆	三径晴供鹰爪兰
一索尚艰，喜见小星配明月	诸因皆幻，惊闻疾雨陨空花
一经传旧德	八座起文昌
一群鸿雁天边过	半只烧鹅地上爬
一肩风月谁担去	六面湖山自拥来
一肩风雪三千里	两眼乾坤十二时
一能死，一能报，合传党人青史例	有是父，有是子，同时送者白衣冠
一自金莲撤，太息此台空，漭漭长川，问今代读书，谁其嗣者	记曾玉笋参，仅留禅悦在，悠悠浩劫，闻公余说鬼，我欲从之
一藏梵声涛在口	满林花影月苞山
一见问灵源，师自离山吾听水	卅年依古洞，世方沉陆我观潮
一览众山，空无所依傍	千秋万岁，最苦此夫妻
一览极苍茫，旧苑高台同万古	两间容啸傲，青天明月此三人
一角小亭半城市	四围秋水万荷花
一诚有定同葵向	百故皆恬若海容
一路沿溪花复水	几家深树碧藏楼
一轮明月	四壁清风
一道盘空，白云覆地	两山之壁，黄河中流
一铎莫司，用明经终老	九畴之备，以寿考为难
一门全大节	百战守孤城
一门父子三词客	千古文章八大家
一门父子三词客	千古文章四大家
一阕荔支香，听玉笛吹来，遍传南海	双声杨柳曲，问金尊把处，忆否西湖
一隅首倡革命之义，崇朝手定开国之谟，此才吾见亦罕	为邦不能竟用其言，浮海无以自保其命，斯人天道宁论
一饭尚铭恩，况保抱提携，只少怀胎十月	千金难报德，论人情物理，也应泣血三年
一鹗忽翔万云怒	群虬相奋孤剑啼
一鹗忽翔万云怒	群虬相奋孤剑鸣
一鼓下巴丘，快事快事	满城守汉腊，过年过年
丁岁观光惭国士	酉山探秘识奇书
丁巳护法，起西南师，喜谢家玄建旗，儿亦并辔驰驱，财政长沙记手莞	庚申纪年，逢浩荡劫，痛孟母仉捐馆，人皆束刍吊唁，楚辟涔澧续招魂
丁此时艰须努力	未应国事竟灰心
七万人相庆更生，计农桑教化兵防，名世允推儒作将	十五卷共尊遗集，兼道学文章经济，此邦尤愿士希贤
七八载夫妻，少米无盐空嫁我	三两个儿女，大啼小叫乱呼娘
七十二健儿酣战春去湛碧血	四百兆国子愁看秋雨湿黄花
七十二峰青欲断	万八千株芳不孤
七十又二年，糊糊涂涂，官界耶，商界耶，流水无情，由他去罢	九月初一日，清清楚楚，醉醒了，梦离了，拈花微笑，待我重来
七十子六艺兼通，文学溯薪传，北方未先于吴会	九百里群英毕萃，礼仪表茅蕝，东林以后有君山
七十日带发效忠，表太祖十六朝人物	三千人同心赴义，存大明一百里江山
七十曰老而传，婚嫁今完向长愿	八千大椿之寿，德年及见子舆尊
七千里看遍名山，持节人归，颇觉家园多静景	十六亩攒成小筑，开樽客至，可知野史有余情
七品八品九品，品愈趋而愈下	一集二集三集，集日积而日多
七品八品九品，愈趋而愈下	一集二集三集，日积而日多
七夕是生辰，喜功名事业从心，处处带来天上巧	百花为寿域，羡玉树芝兰绕膝，人人占却眼前春
七州团练使，八座太夫人，爱日忽颓，乡里荣哀天下羡	哲嗣名状元，曾孙新进士，文星环绕，高堂福寿古来稀
七年即戎，新国今届七年，听爆竹陡增风云气	一日讲武，诸君须争一日，作干城还是子弟兵
七录旧家宗塾	六朝古巷选楼
七德龙韬开玉帐	三千犀甲拥朱轮
七曜灿珠囊，荣镜宇宙	万年绵宝箓，合撰升恒
七月诞生，郭汾阳曾见织女	八州作督，陶长沙亦为部民
七略灿然，子绍校经中垒业	二门籍甚，世传志墓彦升女
七疏无效一击去	九重亟盼孤臣还
七里旧池塘，共几辈交游，连宵诗酒	三更好明月，况万家灯火，一片笙歌
七重宝树围金界	千里名山入酒船
七鸭浮塘，数数数三双一只	尺鱼跃水，量量量九寸十分
万丈文光，北射斗牛蹑魁柄	三星物采，东联箕尾上台躔
万事不如公论久	微言惟有故人知
万事不如杯在手	一年几见月当头
万事从来风过耳	一年几见月当头
万事会须咨伯始	一班我亦愧真长
万事已华发	一身为轻舟
万事未甘随俗传	一官辛苦读书来
万事皆雪浪淘沙，问谁铁板铜琶，为我唱大江东去	一年如春灯过眼，只剩鲲弦羯鼓，留人到红日西斜
万二千家为乡，看水田再熟，洫路交流，到处争留吾所憩	三百六旬成岁，忆春晚观风，秋晴喜雨，连年频与尔相亲
万井烟浓，人间正熟黄粱饭	四山云起，天上应开白奈花
万他如大路	一字皆华星
万众人天欢赞佛	十方功德统遵王
万劫犹存，世上蟪蛄忘岁月	一尘不到，洞中鸡犬亦神仙
万化转璇枢，本天而本地	一元开瑞筴，资始以资生
万千卷里无双士	十四场推第一人
万千星斗心胸里	十二时辰手腕间
万卷图书天禄上	四时云物月华中
万卷百城，安事酒杯浇垒块	清风明月，故应城市有山林
万卷皆成帙	千竿不作行
万卷编成群玉府	一生修到大罗天
万卷藏书宜子弟	一日过海收风帆
万叠云山供远恨	一家烟雨是元功
万古云霄争片羽	几人性命等轻鸿
万古希逢，岂止三四五六	一人有庆，直至亿兆京垓
万响不可静	一层巍然高
万壑松风和涧水	十分烟雨簇渔乡
万壑烟云浮槛出	半天松竹拂窗来
万壑烟云留槛外	半天风竹拂窗来
万壑秋云，看挹翠浮蓝，露冕风前迎九顶	一江春水，愿纡青拖紫，霓裳天际会群仙
万宝告成，合耕夫织妇，白叟黄童，年年歌大有	五征来备，看东舍西邻，南村北疃，处处乐同人
万寿无疆，普天同庆	三军败绩，割地求和
万山不隔中秋月	千年复见黄河清
万山拜其下	孤云卧此中
万年椿寿斯为寿	五世兰孙又见孙
万年觞有清和气	一品集无时世文
万户侯何足道哉，顾乌帽青鞋，难得津梁逢大佛	三神山如或见之，间黄楼赤壁，何如乡郡挟飞仙
万方多难，此身阴系安危，临命语无私，沧海横流余隐恨	廿载论交，相见早谈改革，立言功不朽，船山学派有真传
万方玉帛朝东海	一点丹诚向北辰
万树欣随春水流	百花争向艳阳红
万树琪花千圃药	一庄修竹半床书
万瓦千砖百人修成十佛寺	一舟二橹三人摇过四仙桥
万瓦千砖百日造成十字庙	一舟二橹三人遥过四通桥
万石峰中月色泉声千古趣	八方池里天光云影四时春
万类静观咸自得	一春幽兴少人知
万荷倒影月痕绿	一雨洗秋山骨青
万菊充庭秋富贵	双藤蔓地古烟霞
万言贾生策，千首杜陵诗，莽乾坤何处洒一腔热血，即郊西片土，犹须翦薙荆榛，单骑层峦，孤军间道，风萧萧兮，周殇有魄化奔涛，乃与邓印江、刘普安、黄都匀、彭荔波，懔懔竟如生，又添得岣嵝峰头故旧褒忠传	匹马函谷关，双剑瞿塘峡，奇男子到底成千古完人，奈堂北灵萱，谁与洁清觞豆，英魂还楚，浩气扶黔，日惨惨焉，燐火在原哭新鬼，枉教尝越胆、卧吴薪、哭秦庭、恤鲁纬，苍苍那可问，几曾见襄阳人到残铭堕泪碑
万象在旁，莫嫌眼底乾坤小	一拳打碎，要使胸中块垒平
万象涵归方丈室	四围环列自家山
万里儿啼，此日愁攀贤令辙	卅年老泪，隔江空盼少微星
万里坏长城，叹息北征将士	中原撑半壁，伤心南渡君臣
万里春风抒壮志	百年美梦入长征
万里桥西宅	百花潭北庄
万里河山，春来有脚	十年征戍，地入不毛
万里波涛归海国	一山花木作香城
万里海天臣子	一堂桑梓弟兄
万里烟云开瘴户	一天风雨护神炉
万里版开图，云栈星邮，往来下拜功臣像	百蛮碑在口，渝歌賨舞，欢喜常存故老思
万里神通，渡海遥分功德水	六朝都会，环山长护吉祥云
万里秋风吹锦水	九重春色醉仙桃
万里赴琼儋，夜起江心弄明月	一亭抚笠履，我从画里拜先生
万里长征，此为祖道	大江东去，肯择细流
万间广厦庇来新，问秀才老屋深灯，他日几逢贤太守	百顷平湖游者众，看后学洙情沂思，有人重起古循州
万顷渺清波，移情在付垞清歌，梅村艳曲	一楼摘星斗，极目有南湖明月，东塔层云
万马下宜昌，生及见孝孙乘风云革命	九畴衍洪范，史特书大母备富寿考终
丈夫当死中图生，祸中求福	古人有困而修德，穷而著书
丈夫志四海	古人惜寸荫
丈室花同天女散	围摩诗共老人参
三个土头考老者	五家王子弄琵琶
三代夏商周	四诗风雅颂
三元天下有	两解世间无
三光悬圣藻	一气转洪钧
三光日月星	四书赋比兴
三十年人海才名，帝简方隆天已召	六千里家山归梦，亲心难慰子谁依
三十年宦海平安，旦夕焚香，惟求利济	一万里慈云庇荫，间关行役，重许瞻依
三十里湖镜峰屏，擪笛可无人坐月	廿八字雨珠云墨，凭阑依旧水如天
三千卷勤抄，耄学宛如沈麟士	八二龄老宿，典型顿失鲁灵光
三千士里文章伯	十二楼前侍从臣
三千岁月春犹小	六一风神古所稀
三千珠履集平原，分明月殿霓裳，唤回天宝	十万花灯买元夜，曾记蟠桃麟脯，醉倒昆仑
三千界内大事都非，看困虎疲龙，战斗纷蕃一瞥尽	六万年来此山无恙，指孤云断石，姓名登览几人存
三千里外一条水	十二时中两度潮
三千里持节孤臣，雪窖冰天，半世妆来赢属国	十九年托身异域，韦鞴毳幕，几人到此悔封侯
三千里萍梗飘来，重向山头折屐	六十本梅花开遍，好凭国手调羹
三升椒雨祛寒捷	一榻棃云入梦香
三古遗规重庠序	九州奇变说山河
三品功名丢马尾	一生艳福仗蛾眉
三国谋臣巴夏礼	八门提督瑞芝山
三壶景象驻恒春，扣砌环迎戬谷	六幕光华征复旦，彤宸茂集繁祺
三女为奸二女皆从一女起	五人共伞小人全靠大人遮
三尊大佛，坐狮、坐象、坐莲花	一介书生，攀凤、攀龙、攀桂子
三尺剑，七尺躯，大丈夫惟此区区酬知己	一庭花，半庭月，好境界要当细细读吾书
三尺好头衔，执简无缘，报国空怀万言疏	一家大手笔，修文有命，奉亲先赴九重泉
三山佳气瞻鳌背	九陌香尘驻马蹄
三山入望松筠在	双树无言水月新
三岛春深云气暖	九霄地迥月明多
三峰三霄通，宝掌千秋留藓迹	一岳一石作，金天万里矗莲花
三市金银器	五侯车马尘
三年奔走空皮骨	万古云霄一羽毛
三度入岭南，幼过始兴，晚出蓝关，此行当中岁之交，驱鳄文章犹在后	数峰对江上，访贤令山，登同冠峡，我欲起功曹而问，叉鱼诗句殆其时
三强韩魏赵	九章勾股弦
三径寒松含露泣	半窗残竹带风号
三德知仁勇	一官清慎勤
三才天地人	四诗风雅颂
三挝佯狂，避君鼓吏	群饮轰醉，了此文豪
三摩初地	百粤丛林
三教尽皈依，正直聪明，心似日悬天上	九州隆享祀，英灵昭格，神如水在地中
三星在天，求尔新特	百年偕老，见此良人
三春花满香如海	八月涛来水作山
三春草木如人意	万里河流似利源
三更月冷鹃犹泣	万里云空鹤自飞
三月三日，长安水边多丽人	一觞一咏，会稽山阴修禊事
三朝元老裴中令	百岁诗篇卫武公
三朝阁老	一代伟人
三朝阁老	九省疆臣
三标子现身说法	大老官及早回头
三槐旧种自王	双珠新出于浦
三班餐香	群牧吃粪
三疏流传，枷锁当年称义士	一官归去，锦衣今日愧先生
三百本海棠花，老于乔木	四十年梁苑客，今作主人
三百篇之中，兴观群怨	十九年在外，险阻艰难
三百辈杏林并冕，三万签芸署编摩，衡鉴识冰心，文苑有人同涕泪	廿一科东观楷模，廿二载西湖师表，簪缨联宝树，新宫无憾作神仙
三竺六桥九溪十八涧	一茶四碟二粉五千文
三等状元，苦矣老彭辞柱下	五人郎署，危哉小白射钩边
三管失斯人，癸水辰山都暗淡	千秋存定论，乡贤名宦伫馨香
三篇四六短章，欲于千万人中大变时文之体	一折廿七余扣，直从五千年后上追古帝之陵
三绝诗书画	一官归去来
三语岂称工，莫但楼台夸得月	六箴应共勉，好商簿领助移风
三辅滞书邮，落木秋风衡岳雁	两湖话土物，桃花春水武昌鱼
三间东倒西歪屋	一个南腔北调人
三闾大夫胡为至于此	五柳先生不知何许人
三馆六曹十七科，竞称前辈	一官万里二千石，遂老斯人
上上下下左左右右从此前后不得兼顾	父父子子君君臣臣自古忠孝难于两全
上书侈八表雄图，捧日何尝罄壮抱	聚铁成六州大错，雕霜今己到坚冰
上千中千大千，世间生佛	德一齿一爵一，天下达尊
上古关无征，后世不得已而榷关，慎勿失其初意	本朝税有额，小民如其分以纳税，何可使有怨言
上古大椿长不老	小山丛桂最宜秋
上头有客题诗句	隔岸何人共酒杯
上客尽知名，杜牧诗才，鲍昭赋手	前贤有遗韵，魏公芍药，永叔荷花
上客能论道	虚怀只爱才
上寿伏生传绝学	通经高密擅名家
上帝本好生，求我与以儿女，不求我亦与以儿女	下民须自爱，为善报在子孙，为不善尤报在子孙
上方月出初生白	下界尘飞不染红
上旬上，中旬中，朔日望日	五月五，九月九，端阳重阳
上有加餐饭，下有长相忆	直如朱丝绳，清如玉壶冰
上海自来水来自海上	北京输油管油输京北
上界由来足官府	西风何处哭文章
上相教除名士气	至尊亲许读书人
上第一峰头，到处皆当撒手	空大千世界，看来尽是忘机
上苍有灵，遗腹定应昌厥后	大黄为厉，回头始悔自知医
上苑梅花早	仙阶柏叶荣
上马杀贼，下马草檄	东铭砭愚，西铭箴顽
上马杀贼在西南滇，看犹子跻专城二千石	徒杠济人于小弱郑，哭我公旷名世五百年
上黄昏下黄昏黄昏时候渡黄昏	东文章西文章文章桥上晒文章
下临无地	上出重霄
下巨鹿十余壁，楚兵常冠诸侯，算五年开府钱塘，风鹤不惊，史称周亚夫将军，如是如是	图云台廿八人，安阳独尊儒术，把一卷征南左癖，江山坐啸，天靳郭令公寿考，已而已而
下游建国，多士同袍，屈指已经年，半壁江淮资保障	大将横尸，元凶漏网，伤心惟一哭，全军缟素动哀思
下玉镜台笑谈佳话	种蓝田壁喜缔良缘
下玉镜台笑谈佳话	种蓝田玉喜缔良缘
下笔千言，正桂子香时，槐花黄后	出门一笑，看西湖月满，东浙潮来
下笔已千秋，稽古共知尊汉学	还朝能几日，考工惜未补周官
不为圣贤，便为禽兽	莫问收获，但问耕耘
不为物屈，不为死挠，是忠臣，是孝子，是烈妇	得之造次，得之颠沛，可一息，可毕世，可百年
不作风波于世上	别有天地非人间
不信贤者竟遭杌陧	敢问世路何处康庄
不出户庭，能知天下事	有好消息，说与大家听
不分伯仁由我死	再交公瑾待他生
不华不朴同所好	既安既宁乐乃时
不卑小官，尝为委吏	既得天爵，奠非王臣
不历几番锤炼	怎成一段锋芒
不受物汶汶	仰视天苍苍
不可以风霜后叶	何伤于月雨余云
不可说，不可说	如其仁，如其仁
不合时宜，惟有朝云能识我	独弹古调，每逢暮雨倍思卿
不同神似形似	相期醉乡故乡
不如己者无与友	其为人也小有才
不少雄谋吞海若	只凭余事作诗人
不幸为女儿，不幸聪明，又不幸以三日寒疾失汗死	可怜诸姊妹，可怜父母，最可怜是一门纵声聚哭时
不幸周郎竟短命	早知李靖是英雄
不得已而用，师往有功	无所为而为，我战则克
不必定有梅花，聊以志将军姓氏	从此可通粤海，愿无忘宰相风流
不怒不尤，但反身争个一壁静	勿忘勿助，看平地长得万丈高
不惜亲身穿犊鼻	解留只眼识鸢肩
不惜簿领贤劳，十步以内，必有芳草	且得琴书乐趣，数弓之地，兼种名花
不愁泉冷无时热	常恐峰来更善飞
不愿似鸳鸯嬉戏浅水	有志象海燕搏击长风
不战不英雄，不死不英雄，马革裹尸，千古英雄同壮志	我歌我烈士，我哭我烈士，鹤楼酹酒，三湘烈士慰灵魂
不才曾作美新文，倘骂公寇贼仇雠，苦难下笔	英雄本是寻常物，能舍得高官厚禄，乃足成名
不打通义利关头，且莫轻言学问	能参透圣贤语默，还须实力躬行
不教白发催人老生产五谷农无愧	更喜春风满面生供应三餐我有功
不教白发催人者	更喜春风满面生
不次之迁，人同品峻	及时为惠，情与春长
不止泉明酒	闲临米老山
不死于贼，必死于小人，今而后吾知免矣	虽竟其才，未竟其大志，已焉哉天实为之
不殊风景犹如昨	独立苍茫自咏诗
不求金玉重重贵	但愿子孙个个贤
不爱财，不爱酒，不爱妇人，是个老头陀，只因眉宇间带两字英雄，担搁了五百年入山正果	又要忠，又要孝，又要风流，好场大冤孽，若非胞胎里有三分痴钝，险些做十八滩顺水行舟
不生不灭，不垢净，不增减，度十方苦，是名诸佛	无我无人，无众生，无寿者，离一切相，方见如来
不生事不怕事自然无事	能爱人能恶人方是正人
不畏官司千状纸	只怕乡民三寸刀
不病故，不勒休，仙家亦称上等	又升官，又添寿，教谕无此下台
不皇不帝不君不天王，总统万年，大如美利坚，小视戈司特	曰汉曰满曰蒙曰回藏，共和五族，东到日本海，西逾喜马山
不知明月为谁好	更有澄江消客愁
不福星，真福星，即此一言，可为君寿	已五十，又五十，请至百岁，再征余文
不福星，真福星，即此一言，可为君寿	已五十，又五十，请至百岁，再征吾文
不衫不履，居然名士风流，只因丑陋形骸，险湮没了胸中锦绣	能屈能伸，自是英雄本色，可惜峥嵘头角，谁识你的笔底珠玑
不要钱原非异事	太要好亦是私心
不论有诗无诗，开三径而盘桓，常客来可人，花放如愿	亦知此境何境，揽一园之朝暮，也水解行地，山知绕楼
不逢哥利王，何得漆身为厉	若遇秦丞相，也惊垢面风痴
不遇知音众声俱寂	偶然雅集百乐齐鸣
不遑宁居，一官领百里	亦有远志，百姓如一家
不雨山常润	无云水自阴
不霁何虹，天倩娲皇来补石	此山似蜀，人思坡老为题桥
不须柳材用为号	莫谓棉花又误弹
不须玉杵千金聘	已有红绳两头连
不食民一饭，不爱民一钱，乃吴隐之为太守	先天下而忧，后天下而乐，是范文正作秀才
与世不言人所短	临文期集古之长
与人为善，取人为善	乐以终身，忧以终身
与人何尤，可怜白发双亲，养子聪明成不幸	自古有死，太息青云一瞬，如君摇落更堪悲
与其私千万卷在己，或不守之子孙	孰若公一二册于人，能永传诸奕禩
与其称政家，宁称辨家，用学得十之三，用术得十之七	乃不死敌手，而死盗手，在国为大不幸，在世为大不祥
与古为新，载瞻星气	其曰可读，如写阳春
与古相于，缅当年谢草王池，共仰风流独步	从吾所好，占此地荷亭竹榭，还期心迹双清
与君同为国伤心，何堪憔悴江潭，楚些翻成悲宋玉	此业不蒙天所福，枉自张皇幽渺，玄经那更问侯芭
与吾同甲子	添汝作中秋
与嗣君谊属同袍，每把酒谈兵，获聆画荻教	惜出祖缘悭执绋，为孤军远戍，却愧束刍人
与国咸休，安富尊荣公府第	偕天下老，文章礼乐圣人家
与天柱折地维绝同悲，非为个人掬此酸辛泪	愿关塞黑枫林青入梦，不忘旧友招得归来魂
与子瞻生同里、官同方，吏治诗材称伯仲	伴和靖寓相邻、殡相近，湖波山色乐神仙
与弦作契风生竹	列坐为情水抱山
与我公别几许时，忽警电飞来，忍不携二十年刎头交，同赴泉台，漫引将去楚孤臣，箫声呜咽	近至尊刚十余日，被群阴构死，甘永抛四百兆为奴种，长埋地狱，只留得扶桑三杰，剑气摩空
与曾左胡骆百战成功，比投老家园，浸灌滋培，还使门闾气允固	历道咸同光四朝全盛，迄考终里第，伤亡殄瘁，顿教天地色凄凉
与月乐天花乐地	将诗惊鬼酒惊人
与有肝胆人共事	从无字句处读书
与朋友共	近圣人居
与水不争能，力尽八年惟注海	升堂思肯构，目穷千里更登台
与王而农、朱元晦今古争辉，千载一堂论学术	值陶斯泰、克鲁巴后先殂谢，两年三度吊耆英
与百姓有缘，才来此地	期寸心无愧，不鄙斯民
与礼同节，与乐同和	以义为根，以仁为本
与舒严并称溆浦三贤，同蹶妙年千里足	念吴楚尚有高堂二老，可怜孝子九原心
与贤者游信足乐	集古人文亦大观
与道本无隔	将诗莫浪传
专意缥缃，左太冲宜春之里	自栽草木，李义山永乐所居
且与扬雄说奇字	要令安世诵亡书
且从少傅论中隐	拟问灵君乞上池
且住为佳，何必园林穷胜事	集思广益，岂惟风月助清谈
且凭造物开山骨	欲助君王铸褭蹄
且图良晤	莫负名园
且将酩酊酬佳节	未有涓涘答圣朝
且开拓心胸，看汉水波涛，岘山风月	若评论人物，有武侯经济，工部文章
且漫道见所未见，闻所未闻，即此格致关头，认真下手处	何以能精益求精，密益求密，须从鬼神屋漏，子细扪心来
且漫道见所未觅，闻所束闻，即此格致关头，认真下手处	何以能精益求精，密益求密，须从鬼神屋漏，仔细扪心来
且看淑女成佳妇	从此奇男已丈夫
且食蛤蜊	安问狐狸
且食蛤蜊，焉知许事	但有螃蟹，而无监州
世上几百年旧家，无非积德	天下第一件好事，还是读书
世上无难事无心人不就	科学有真谛有志者竟成
世上疮痍，诗中圣哲	民间疾苦，笔底波澜
世事如棋，一着争来千古业	柔情似水，几时流尽六朝春
世事如此艰危，新国会心恋地盘，食客三千难解散	民生虽极困苦，旧议员手拿饭碗，月薪五百不甘抛
