好山一窗足	佳景四时宜
皑皑白雪兆丰年	习习东风焕物华
美酒红灯歌胜利	银筝玉管迎新春
爆竹随心飞笑语	春风得意谱欢歌
千秋大地发春华	万里山河涌春潮
庭前瑞发花光锦	门外鸟鸣春风歌
青山石墨千秋画	绿水无弦万古琴
时雨送来千里绿	春光不让一人闲
天上星光增异彩	人间科技建奇功
五色云中开晓日	万年枝上动春风
花如解语迎人笑	草不知名随意生
鸟语早随阳气发	人心长望春不归
欣逢盛世酌喜酒	好趁早春播幸福
莫待明年花更好	当惜今朝春更浓
日丽远山含淑气	风和芳树蔼春晖
大地有色皆春染	人间无处不东风
红气满林花著雨	翠光摇户柳含烟
十亿人民颂大治	万里江山展宏图
举目看花花满目	出门见喜喜盈门
桃花已发三层浪	春潮长吐万里云
鸟韵入帘时正年	花香浮云日初长
千山叠翠春光好	万水扬波气象新
心地光明千丈雾	家庭和睦四时春
风发霸柳绿浪暖	春临柔雪花溪长
当留春光驻华夏	新开世纪属炎黄
国运兴隆如旭日	事业发达胜阳春
雪洁巧铺千里玉	柳柔喜绽万条金
腊梅一院无凋谢	风竹十里有清香
春风陌上翻新绿	时雨枝头含珠红
青山绿水风云静	碧海蓝天日月明
四化宏图酬壮志	两番大业比雄心
喜鹊登枝红梅俏	春风吹柳紫燕欢
莺识新机随日至	燕寻旧主带春来
探得早梅迎献岁	推寻旧历挹韶华
云间瑞气三千丈	堂上春风廿四时
春风堂上初来燕	细雨庭前乍开花
春风细柳飘祥语	时雨长安度半年
一曲笙歌春似海	千门灯为夜如潮
太平有象人同乐	天地无私物自春
春来奇花红映月	冬去芳草碧连天
芙蓉夜日开天镜	杨柳春风拥画图
天泰地泰三阳泰	家和人和万事和
爆竹一声除旧岁	桃符万户换新春
绘我河山添彩笔	献身祖国出良谋
绿柳舒眉除旧岁	红桃开口笑半年
映阶碧草生新色	隔叶黄鹂送好音
春来百花香满地	日照万物喜临门
细雨无声滋大地	春风有意暖人心
火树光腾城不夜	银花焰吐景长春
人尽其才人延寿	物畅其流物生辉
绿荣大地春风动	红染长天旭日高
柳披烟霞山色翠	梅含胭脂春意浓
春染千畴一片绿	雨润万花遍地红
天上四季春为首	人间五福寿宜先
春和草木当庭秀	时泰山河映日红
百年天地回元气	一统山河际太平
千好万好满院好	五福百福全家福
雪消门外千山绿	春到人间万户欢
窗含青山鸟衔翠	门垂碧柳花吐艳
感旧已无清江鹤	怀乡忽见巴山鹃
春到自然山有色	时来依旧水映花
一冬寒风随夜尽	九州春色破晓明
抬头见喜喜满院	开门大吉吉盈庭
一城花雨山河壮	满苑春风天地辉
春风摇醒千门柳	暖雨催开万径花
勤劳修通富裕路	节俭叩开幸福门
八方财神添贵富	四时福星保平安
五风十雨农家乐	万紫千红大地春
丰收酒溢全家笑	致富花开四季春
新年初一大门开	吉星送进福财来
三春淑气盈门室	万里祥光烛斗文
创业莫忘先辈德	成家惟愿后世昌
四海皆春春不老	九州同乐乐无穷
花锦堆云香燕垒	柳丝回韵织莺帘
好事好景好运气	多财多福多吉祥
一勤天下无难事	百忍堂中有太和
桃柳争催春烂漫	云霞长拥日光华
致富欢歌催腊尽	发家喜酒送春来
春风得意花千里	煦日扬辉暖万家
春种满田皆碧玉	秋收遍野尽黄金
春风阵阵宜人意	政策昭昭顺民心
把酒高吟春色赋	扬鞭又唱丰收谣
丰衣足食千家乐	丽日和风百花娇
金镰钩起新弯月	银锄震落满天星
福星高照农家屋	春日永悬致富门
政策英明兴百业	经营合理富万家
生财路上残冰化	致富源头活水来
庆丰年全家欢乐	贺佳节满屋生辉
乍雨乍晴花易老	耐霜耐雪松长青
春到堂前增瑞气	日临庭上起祥光
万木欣春随水绿	百花争艳向阳红
春随芳草千年艳	人与梅花一样清
江南塞北家家乐	天涯海角处处春
无边沃野翻金浪	一片碧波跃玉鳞
松青柏翠山山美	柳绿桃红户户春
剑击歪风春色丽	琴鸣新曲乐声高
河水流长歌千首	春风送暖花万枝
翠鸟争鸣春意闹	红梅怒放喜讯传
牛马猪羊六畜旺	荷花菱藕一池鲜
牛羊并壮猪盈圈	鸡鸭成群鱼满塘
园丁辛勤一堂秀	桃李成荫四海春
遥闻爆竹知更岁	偶见梅花觉已春
雪凝大地梅犹俏	日照高峰松更青
莺歌燕舞春光好	水远山高幸福长
万首新诗吟大治	千杯美酒祝丰年
岁寒显出苍松劲	春暖方知绿柳新
牡丹朵朵开洪福	阳雀声声唱早春
年来年去年年好	岁换岁更岁岁新
百鸟和鸣歌序曲	万民欢愉庆丰年
四海笙歌讴盛世	九州爆竹庆尧天
福如东海千年乐	寿比南山万户春
九州联奏迎春曲	万众同描祝福图
爆竹随心飞笑语	春风着意谱新歌
红日无私照大地	春风得意暖神州
春秋有梦托宏愿	山水飞歌树雄心
春江千里飞虹彩	沃野万顷捧黄金
新岁新春幸福日	好时好景吉祥年
千古传奇惊日月	九州揽胜壮春秋
万众欢腾歌盛世	百花竞放贺新年
声声爆竹传千里	点点梅花又一春
勤劳创下千秋业	科学招来万贯财
庆新春九州如画	度佳节四海归心
九州插上腾飞翼	四海流行开放歌
金鸡一唱千门晓	绿柳千条四海春
喜盈门第至新景	春满人间入画图
新岁高登新境界	好春大写好文章
福寿称心家顺泰	春风得意业昌隆
风递清香梅已绽	春临大地景全新
英雄儿女创新业	锦绣河山入壮图
洒下汗珠春风桃李	迎来硕果秋雨梧桐
户对青山花蕾缀树	门含绿水鱼藕满塘
百业兴昌欣逢盛世	万民愉悦喜接新年
阳春美景山河壮丽	大块文章岁月增新
辞旧岁合力山成玉	庆新春同心土变金
鸟语花香有声有色	国强民富可喜可歌
瑞雪纷飞村村兆瑞	春风浩荡处处迎春
人杰地灵百业兴旺	山欢水笑五谷丰登
华夏中天艳阳高照	神州大地紫气东来
雪满千岩山高月下	春来万里水流花开
福星高照长空溢彩	万事亨通大地流金
两岸三通九州一统	八方四化万紫千红
盛世和平百花齐放	宏图大展万里腾飞
载酒迎春春光丽丽	出门见喜喜气洋洋
事业繁荣门盈喜气	江山秀丽户绕春风
四化蓝图崭新日月	十年规划扭转乾坤
春满人间欢歌阵阵	福临门第喜气洋洋
春雨秋露泽被千里	光风霁月晖洒万家
绿水常言三春如意	青山不语四季呈祥
继往开来千秋大业	承前启后四化宏图
大海方平千帆竞发	征途正远万马奔腾
九派奔流千舟竞发	一元复始万物争春
春夏秋冬年轮又转	东西南北方位永恒
门外青山龙翔凤舞	窗前绿水鱼跃鸢飞
四海归心小康在望	九州特色宏业常兴
四柱擎天金瓯永固	五星耀地玉宇清平
春满九州一元复始	国臻四化百业俱兴
岁月峥嵘青春焕彩	前程灿烂赤县增辉
幸福安详人之企盼	文明富裕众所追求
祖国江山花明柳暗	人民事业月异日新
幸福家庭丰衣足食	文明社会正气清风
党引春风山明水秀	国兴特色物阜年丰
民安国泰千门报喜	地瑞天祥万户迎春
淑气初回天蓝地秀	春光四溢心旷神怡
天送祥和芳春永驻	地呈锦绣盛世长存
四海五湖同铺春景	千家万户均谢党恩
天地九州又增一岁	人民十亿更上层搂
瓶插四友梅兰竹菊	岁转一轮春夏秋冬
月仄日平自然格律	云笺雨墨浩翰文章
丽日煦和春光永驻	惠风恬畅富水长流
旭日出东方光弥宇宙	百花开大地春满人间
舜日尧天万民增福泽	和风甘雨四海沐春晖
大地播春光山青水绿	神州增秀色万紫千红
自力更生创千秋大业	励精图治开万代宏基
翠浪映碧空莺歌燕舞	白云绕青壑柳绿花红
翠柳摇风喧千树翠鸟	红梅映日吐万枝红霞
一夜东风吹红花万朵	三春细雨染绿柳千条
大路通天更喜中华伟	宏图遍地当惊世界殊
五更分二年年年祝福	一夜连双岁岁岁呈祥
东风引紫气江山壮丽	大地发春华桃李芬芳
花团锦簇江山添异彩	虎啸龙吟华夏振神威
把酒庆新春春风浩荡	题诗歌盛世世纪辉煌
紫燕腾欢迎来新日月	红梅绽放换了旧山河
一代英豪揽九天日月	九州华夏展四化宏图
柳绿桃红映一江碧水	莺歌燕舞闹十里春风
政策英明明时寄感慨	国家昌盛盛世乐开怀
日丽风和三春飘翠柳	山青水秀万里展宏图
党振雄风神州千古秀	国兴特色华夏万年春
春风拂大地山河锦绣	华夏转新机岁月峥嵘
争春在草木木荣花艳	取信于人民民富国强
岁岁平安时时交好运	年年有吉处处遇良机
为希望工程添砖加瓦	看风流人物富国兴邦
傲雪红梅笑送九冬景	穿云紫燕喜迎四化春
乐奏埚嵇歌中化特色	舞参犀象贺锦绣前程
趋万里东风层楼更上	沐三春化雨四海同欢
翠竹掩红楼别开天地	青山依绿水点缀乾坤
松柏长青河山千里秀	云霞放彩社稷万年春
年年有庆新年新局面	步步登高一步一层天
一夜度双年年年有吉	五更交两岁岁岁高升
岁岁辞旧岁往岁逊今岁	春春迎新春来春胜去春
含笑腊梅唤醒奇葩千树	溢香春笋挺起翠竹万竿
杏雨飞红喜织千家春色	和风着绿巧绣万里新图
日丽风和绣出山河似锦	年丰物阜迎来大地皆春
辞旧岁劲松染霜松尤绿	迎新春寒梅映雪梅更红
松香竹香梅香香风阵阵	天美地美人美美意重重
江山不老处处山青水秀	神州永春年年林茂粮丰
中华儿女敢揽九天明月	两个文明勤绘四化宏图
鞭炮声欢笑声声声悦耳	国家事人民事事事赏心
伟大祖国迎来满园春色	英雄人民创造举世文明
迎新年万众共饮奋飞酒	干四化九州齐唱改革歌
巨龙腾飞光耀神州大地	睡狮猛醒声震寰宇长空
入户问家声礼乐诗书孝悌	卷帘看春色椿萱棠棣芝兰
万木逢春三山五岭皆吐翠	百花得意万紫千红尽争荣
春至阳回玉宇无尘千顷绿	岁当运转银花有焰万家新
一夜连双岁岁岁六畜兴旺	五更分两年年年五谷丰登
长青树有根独茂勤劳门第	幸福花无种只生和睦人家
爆竹喧腾一代河山光夏甸	桃符披彩几家门第乐春台
红日高照全国共创小康户	经济腾飞普天同庆大有年
山舞银蛇昨日乍消千嶂雪	云飞紫燕今朝先放一枝花
旧风俗旧习惯随旧岁送去	新思想新气象伴新春到来
万众同心创造人民百代福	九州一统迎来祖国万年春
崇俭戒奢美德持家家必富	纳新吐故贤才治国国昌隆
新天新地新人新事新气象	春风春雨春花春月春满园
布谷鸟鸟布谷布下丰收消息	迎春花花迎春迎来大好春光
四化待英才斩棘披荆承大业	九州期志士呕心沥血报春晖
对面一春山又方又正堪仰止	出门两道路何去何从应清分
大地换新颜粮遍田陌歌遍野	山坡披彩装果满枝头笑满林
岁岁喜迎春春为岁首春常在	人人欣向党党得人心党永年
南北共中兴山海开源荣禹甸	城乡皆大定工农联谊乐尧天
瑞色布人间锦绣河山添锦绣	春阳普大地光辉节日更光辉
挥笔写豪情敢向五洲夸特色	放怀抒壮志能教九域起宏图
彩笔绘神州指点江山添秀色	新春思台友愿将日月共光辉
翘首望京华多谢春风常送暖	深情连海宇应凭红豆寄相思
黛墨研碧水疾书竹赋漾春意	素笺染丹霞喜绘梅图颂党恩
赤子盼黄山苍松翠竹暗香里	金瓯思潭月紫雨碧云彩霓中
紫气东来看九州物华酒美人寿	祥云普照喜八桂胜境鱼肥米香
晴雪映梅花预兆丰年太平有象	朝阳连爆竹曰为改岁乐事无边
天时地利人和百业兴隆臻盛世	林茂粮丰物阜万家欢乐贺新春
元日日丽照大地大地风光无限	三春春浓盈山川山川美景绝佳
人民有应更喜龙凤呈祥龟蛇献寿	天地无私试看云霞出海梅柳迎春
瑞雪片片兆丰年家家迎春祝福	祥梅枝枝吐新蕾户户恭喜发财
年胜一年年胜年年年有剩年年盛	月新余月月新月月月纳薪月月欣
梅花红柳丝绿如画江山千里秀	云霞丽松柏青似锦前程万载春
年年喜鹊闹红梅红梅昂首迎红日	岁岁笑颜入春贴春贴满门洽春风
数不尽春光门前绿树阶前玉树	看将来气象千里青云万里轻云
雄儿女风华正茂不愧当代俊杰	绣江山春意盎然堪称人间乐园
山如画水如画心田才是最美画	春是诗秋是诗国策方如绝妙诗
勤劳门第春常在春回大地春光好	节俭人家福先临福满乾坤福气多
门前车兮马兮车水马龙奔富路	世上花也锦也花团锦簇绣文明
青云直上勉中华儿女揽九天明月	紫气东来建两个文明绘四化宏图
四季长留四季青喜看冬季如春季	一年更比一年好定叫今年胜去年
火树银花福寿酒于元春春满玉宇	山鬟水佩拂垂杨之稚绿绿萦金城
凤舞龙飞喜看大好河山生机无限	云蒸霞蔚遥望同胞骨肉团聚有期
四序更新巍巍乎万里长城三春不老	一元复始灿灿兮千年古国九鼎生光
松劲南山鹤栖北野天南海北人高寿	莺歌西月燕舞东风河西江东景长春
党扶正气民扬志气华夏年年增喜气	国倡嘉风家树新风神州处处荡春风
廿四番花信神州大地万紫千红春意满	九十般韶光伟业宏图三山五岭喜事多
穷山变富	旧貌换新
勤劳是本	性善为纲
凯歌动地	战鼓催春
春播千村笑	福驻万户欢
吉祥有喜	富贵长春
生财有道	幸福无疆
五谷丰登	六畜兴旺
山村时雨润	水乡月正明
山欢水笑	喜临人间
全家福气	满院春光
春盈四海	花熳九州
春联映春日	福地托福天
丰收岁月	康乐人家
莺歌燕舞	春到大地
春风得意	丽日舒怀
农家多喜气	六户满春光
春风得意	政策归心
丰收酒浓	勤劳汗香
开门闻喜讯	举步见春光
百花开田野	五福入农家
香飘四季	绿满九州
林木山山绿	鱼鸭塘塘丰
竹影有新意	松风含古姿
红日辉林海	春光焕鸟音
庭荣松柏	阶茂芝兰
田园常有乐	鱼鸟亦相亲
祖国春光好	农村气象新
丹桂香千里	松柏绿万年
山川毓秀	松柏常青
发家勤为本	致富俭当头
江山千古秀	花木四时春
茶园香屋后	柳浪泛门前
高山埋宝	林海藏金
土能生百福	地可纳千祥
林深惊鸟兽	果熟醉山人
高枕随流水	轻帆任远风
万户皆喜色	千村尽春光
竹松添翠色	桃李绽新蕾
匠心随所种	著手便成春
柳笛穿林过	山歌带月行
日丽山河秀	风和草木荣
荒岭成林海	沙滩变绿洲
春拂柳丝翠	秋染枫叶红
日月开新纪	田园人画图
唱晚耽清兴	临波寄渺怀
渔歌随浪涌	海货与山齐
一帆云作伴	千里月相随
田园风光绝好	农家岁月更新
摇橹时弄月	挂帆自生风
春潮新涨碧	银网广织歌
通商为物畅	集贸利农家
欲夺粮丰须细作	力争苗壮务精耕
明月双溪水	轻波一钓船
农家小院溢瑞气	幸福门第增祥光
乘风破浪歌一海	喜笑颜开银满仓
发家勤为本	致富俭当头
草木盼春暖	人民思富裕
一畦春韭绿	十里稻花香
花开群芳谱	人喜丰收年
春到农家院	福临致富门
江山千古秀	中华万年青
政喜千门暖	风和万户春
普及科学知识	提高耕作技术
嫩柳千姿秀	娇梅万态新
江山添秀色	桃李发春华
水清鱼可数	林静鸟无言
红梅伸枝傲雪	桃李含笑迎春
瑞雪漫天舞	红梅报春来
桃李成蹊径	江山如画图
春光何荡荡	雨意且潇潇
搞好科学种田	促进农业生产
佳节家家乐	新春处处欢
春润竹梅门第	喜融楼阁农家
户户安居乐业	村村增产丰收
风掀稻浪金波滚	秋熟棉田白雪铺
铁臂挥舞山河变	银锄起落天地新
乘风出海勤生产	满载而归唱渔歌
一网收来鱼满载	千锄种下谷盈仓
举怀喜庆丰收年	迎宾先唱农家乐
家家粮食满仓囤	人人喜气上眉梢
五谷丰登农家乐	四季增收岁月甜
闹春耕人勤春早	抢农时民乐年丰
梅花含苞迎春到	瑞雪漫野兆丰年
新谷登场万户乐	雄心揽月九天低
马壮人强康乐日	仓流囤满裕丰年
地旺人勤山献宝	春浓日暖国增辉
敲锣打鼓庆佳节	张灯结彩贺丰收
东风化雨山山翠	政策归心处处春
五业并举家家乐	六畜兴旺户户欢
熙春渔港千帆集	出海云涛万网张
勤俭人家先致富	向阳花木早逢春
春风得意花千里	秋月扬辉桂一技
勤劳门第山献宝	俭朴人家土变金
汗洒田园五谷秀	锄描大地万家春
爱竹不锄当路笋	惜花常护入帘枝
缫成白雪桑重绿	割尽黄云稻正青
茧花结出丰收果	汗水汇成幸福泉
花影不离身左右	鸟声只在耳东西
人欢马叫丰收岁	狮舞龙腾改革春
春动生机龙起蛰	物宣时令鸟催耕
晴窗透日桑榆影	晚露湿秋黍禾香
一年生计勤务商	无限春光任剪裁
地开美景春光好	人庆丰收喜气多
林高草茂牛羊壮	水秀山青稻麦丰
国泰民安知礼乐	年丰物阜庆康宁
万壑松涛山雨过	千山花色水风生
东风送暖千山绿	旭日生辉万壑春
竹林葱郁千嶂翠	树海苍茫万顷涛
高岭苍茫低岭翠	幼林明媚母林幽
松色巧开千岭绿	梅香普送万家春
十年树木千秋业	一望江山万里春
风吹杨柳千山绿	雨润杏桃万里红
百鸟齐鸣迎旭日	千林披翠舞东风
绿满林区山滴翠	春回茶场路飘香
植树为求千代福	护林因葆万山春
千只轻艇迎风去	万担鲜鱼上网来
造林直上千重岭	筑坝横拦万顷波
绿屏碧嶂遮风砾	林海雪原育栋梁
千峰苍翠吐春意	万亩碧波浴早晖
秃岭荒山成昔日	青峰绿海看今朝
劲竹在前方见节	腊梅去后尚留香
碧海金波朝旭日	春风银网耀朱鳞
鸟欲娱人娇舌啭	花如爱客笑颜开
祖国有山皆绿化	林区无处不清风
春风习习渔家乐	秋水粼粼夹岸欢
青山不老山犹秀	碧水长流水愈娇
一片晓烟杨柳绿	满园春色杏桃红
百花园里珍禽舞	万木林中好鸟鸣
千林鸟唱山增韵	四野花开果溢香
草绿花红锦绣地	粮丰林茂喜欢村
自闭桃源称太古	欲栽佳木柱长天
万木欣春随水绿	百花争艳向阳红
柳绿梨黄千载福	桃红松翠万年春
熙春鱼港千帆集	出海云涛万网张
海上渔歌随浪涌	岸边欢笑逐风飞
碧波浩渺千帆舞	紫气光华万象新
出海千船迎日出	归程万篓顺风归
万顷烟波天接海	千舱欢笑喜迎春
双桨荡开波面镜	一篙撑破水中天
五岭山歌传吉讯	三江渔唱起春潮
金山银海迎朝日	牧笛渔舟唱晚风
雨顺风调人出海	帆轻云淡船归家
汪洋大海鱼群广	浪静风平水产车
乘风破浪扬帆去	金甲银鳞满艇归
白帆春暖兴渔业	碧海波平唱福音
鱼香醉倒千重浪	螺号唤醒万户春
寒江打网随流水	曲渚回舟带夕阳
渔唱晓迎红日出	风帆暮载锦鳞归
堤外波光千里碧	船中春色万斤银
潮汛朝争歌满海	归帆夕映喜盈舱
港外群帆迎旭日	船中笑脸伴春风
白云春暖千家乐	珠海波平万舶来
集市繁荣财路广	通商无欺物公平
无穷生意赖乡土	有志农民是栋材
科学知识穷山变富	改革精神旧貌换新
春风晓月随流水	小曲轻舟载锦鳞
搞好供销生意好	提高生产赞声多
劳动发家棉铺银床	科学创业稻围金帐
万国嘉宾舟载宝	三山奇景海连云
油盐布匹天天有	农具肥料日日全
植树造林有山皆绿	移花接木到处是春
集市繁荣物价稳	人心安定世风新
南北货任君挑选	工农渠凭我沟通
海笑人欢九州永泰	盐丰鱼跃四海长春
聚四面八方产品	供千家万户需求
政策英明兴百业	经营合理富千家
耕雨锄云迎来幸福	栽花种树装点春光
繁荣市场财源旺	礼貌经商客自多
天复三阳人勤春	牛耕千顷心齐年
花果飘香桑麻挺秀	牛羊肥壮稻菽丰盈
财源滚进勤劳户	幸福频临节俭家
一家和顺应归福	百业振兴皆因勤
五谷今年歌大有	九州到处庆升平
梨花院落溶溶月	春水池塘淡淡风
让富字安家落户	把穷字扫地出门
田园逢春春似锦	劳动致富富盈门
又是一年丰收乐	依然万里建设歌
谷有田园桑有圃	鱼满池塘果满林
日丽风和增福寿	人欢马叫闹春耕
爆竹欢歌丰收曲	春风敲开富裕门
车水马龙农家乐	花好月圆大地春
华夏安定百事好	农家芳春万象新
好山好水好日月	新岁新春新家庭
家家畅饮庆丰酒	处处同吟祝福诗
国强民富太平日	雨顺风调大有年
家添财富人添寿	春满田园福满门
天增岁月地增产	春满乾坤福满门
牡丹朵朵开洪福	阳雀声声唱早春
举五业劳动致富	养六畜经济繁荣
节俭人家穷变富	勤劳门第乐而康
春到山乡千门喜	喜临小院四季春
福星高照农家屋	春日永悬致富门
精耕细作丰收岁	勤俭持家有余年
勤而不足再加俭	耕有余闲且读书
莺歌燕舞春光好	水远山高幸福长
粮棉遍野千村富	桃李满园万家春
山沟长起摇钱树	茧手端来聚宝盆
神州十亿争飞跃	乡镇五业庆丰收
礼义生财庆有道	勤劳致富乐无涯
银锄铁臂五谷旺	骏马新人百业兴
五谷欲结丰硕果	四化先开胜利花
