一 屋 一 橼 ， 一 粥 一 饭 ， 檀 樾 膏 脂 ， 行 人 血 汗 。	=>	一 时 一 日 ， 一 月 一 年 ， 流 光 易 渡 ， 幻 影 非 坚 。
依宏誓愿建折摄之法门但肯一心持名自尔潜符实相俾四圣六凡同证真常故得九界咸归十方共赞	=>	以大慈悲立厌欣之胜行若能初土记质何难顿入寂光导三乘五性齐登净域因兹千经俱阐万论均宣
值群飞海水之秋创虎斗龙争奇局史例有先声同米邦林肯佛国罗兰万世留名惠灵吞推翻怪杰	=>	当百战功成而后作十洲三岛间游促人何太急与黄君克强宋公渔父一时并逝贾太傅竟夭天年
偏偏在战的热望中，鲁迅死了！中华民族要大哭，无产阶级要痛哭，前进作家更是要狂哭；	=>	偏偏在降的阴影里，鲁迅死了！帝国主义会暗笑，专制魔王会狠笑，落后文人也许会惨笑。
健 儿 为 子 ， 亚 运 当 盘 ， 战 不 问 输 赢 ， 敢 来 参 赛 皆 生 益 。	=>	禹 甸 作 东 ， 羊 城 设 局 ， 人 无 分 国 度 ， 愿 去 交 心 定 会 和 。
傀儡曾遣登场维新变法备历艰辛廿年出奔已矣中间灰飞劫易几阅沧桑寿人笙磬忽闻北海归来如梦幻	=>	歌舞业经换剧得失兴亡空劳争攘一世之雄安在此时雾散烟消徒留感慨老子婆娑未已东山兴罢整乾坤
儒为戏，生旦净丑外副末，呼十门脚色，同拜一堂，重道尊师大排场，看破世情都是戏；	=>	学而优，五六工尺上四合，添两字凡乙，共成七调，唱余和汝小伎俩，即论文行亦兼优。
兢 兢 业 业 ， 磨 剑 十 年 ， 只 为 龙 腾 渤 海 ， 展 现 燕 赵 英 才 。	=>	勤 勤 恳 恳 ， 身 劳 十 载 ， 只 为 醒 狮 东 方 ， 凸 显 华 夏 脊 梁 。
公一身关民国存亡革命不死暗杀不死疆场奋争尤不死苍苍者其有知耶独奈何建设方新遂坏国家柱石	=>	廿四史开英雄生面李郭逊之韩范逊之曾左彭胡亦逊之巍巍乎无能名也竟创出春秋义战直如日月经天
内 无 相 ， 外 无 将 ， 不 得 已 玉 帛 相 将 ， 将 来 怎 样 。	=>	天 难 度 ， 地 难 量 ， 这 才 是 帝 王 度 量 ， 量 也 无 妨 。
出西州城迤逦而来，看桑麻遍野，花柳成蹊，十万户重睹升平，遗爱难忘，白叟黄童齐堕泪	=>	与中山王后先相望，幸湖海波平，石城浪静，五百载允符运会，威名并峙，衮衣赤舄更图形
出西州城迤逦而来，看桑麻遍野，花柳成蹊，十万户重睹升平，遗爱难忘，白叟黄童齐堕泪；	=>	与中山王后先相望，幸湖海波平，石城浪静，五百载允符运会，威名并峙，兖衣赤舄更图形。
出门一瞧数十里图画屏风请看些梵宇僧楼与丹枫翠柏相间红的火红白的雪白青的靛青绿的碧绿	=>	归台再想几千年江山人物回溯那朱门黄阁和白屋蓬扉接壤名者争名利者逐利圣者益圣庸者愈庸
十 月 初 一 寿 辰 日 ， 宴 寿 辰 ， 贺 寿 辰 ， 母 亲 子 女 共 寿 辰 。	=>	八 月 十 五 团 圆 夜 ， 月 团 圆 ， 人 团 圆 ， 中 秋 国 庆 也 团 圆 。
十 载 寒 窗 苦 ， 有 志 事 竟 成 ， 乘 风 破 浪 终 腾 飞 。	=>	九 州 华 夏 惊 ， 苦 心 天 不 负 ， 御 风 腾 云 任 翱 翔 。
千 古 流 ， 千 古 楼 ， 千 古 楼 上 望 千 古 流 ， 流 楼 共 千 古 。	=>	人 月 印 ， 人 月 影 ， 人 月 影 里 合 人 月 印 ， 印 影 同 人 月 。
千 龄 预 宴 九 老 图 形 杖 履 春 坐 年 德 钟 山 堪 比 峻 。	=>	东 方 善 谐 南 极 昌 寿 孙 曾 林 立 家 门 荆 树 庆 长 荣 。
千里蒪羹，方偕归隐，三间茆屋，幸免赁舂，卅八载鸿案相庄，痛半世钗荆，彤史遽亡贤德曜	=>	鉴鞶才思，葭末心钦，书带家声，兰猷耳熟，廿六年鲤庭陪侍，对后堂丝竹，绛帷望断老彭宣
千里远谐鸾凤，撑支门户，胜似丈夫，那堪薪米萦怀，空费卿百啭柔肠，难带些须泉下去；	=>	十年两折鸳鸯，问讯幽冥，应呼姊妹，倘使蘼芜忆旧，当念我独居苦况，相邀同入梦中来。
卅六洞别有一天，渊明记，辋川行，太白序，昌黎歌，渔邪？樵邪？隐耶？仙邪？都是名山知己	=>	五百年问今何世，鹿亡秦，蛇兴汉，鼎争魏，瓜分晋，颂者，讴者，悲者，泣者，未免桃花笑人
半生来辛苦共尝日恒接席夜每联床并与十年同学素志无乖曾几时杯酒话灯残泉下如何君独步	=>	毕世后凄凉谁语上弃慈亲下遗赤子更教六月新婚红颜薄命惟一陌纸钱和剑挂江干空剩我招魂
半面山楼，半面江楼，书画舫，容我掀髯大笑，邀几个赤松、黄石、白猿来，一评今古；	=>	数声樵笛，数声渔笛，翠微天，尽他拍手高歌，听不真绿水、明月、清风引，万象空濛。
南南北北，总须历此关头，且望断铁门限，备夏水冬汤，应接过去现在未来三世请佛，上天下地	=>	东东西西，那许瞒了根脚，试竖起金刚拳，击晨钟暮鼓，唤醒眼耳鼻舌心意六道众生，吃饭穿衣
压江流以扶地脉远瞩高瞻则见玉垒云开峨眉月朗夔门日射剑阁烟消郁郁葱葱助全蜀山川钟灵毓秀	=>	凌井络而焕人文闳中肆外当如长卿赋丽太白诗豪坡老辞雄南轩学正麟麟炳炳为西川俊杰播美扬修
双龙斗角，两虎磨牙，放眼看河山，等是棋争一着；每当雨雪敲残，马迹车尘，更得何人能对垒；	=>	潮咽沪光，风凄邗水，抚怀数耆旧，谁知梦隔重泉；犹幸箕裘克绍，笔歌墨舞，依然拥我独登坛。
口孝悌笔忠信讲礼明义廉隅自干楯所之失于神经部者惟耻耳遂至豺狼蛇蝎无比凶残实屠我兄弟姊妹	=>	南悲哀北摧伤绝恸大号哭声震衢途当逍遥乎官舍中人独哭之必非饕餮穷奇能状丑恶远愧乎魑魅魍魉
古来征战几人回，想当年城覆金瓯，洲横铁锁，江流石不转，实疚我心，只今劫满红羊，极目沧桑余感慨；	=>	日暮乡关何处是，听此地钟声镗鞳，浪激噌鋐，鸟鸣山更幽，欣瞻庙貌，特愿灵屯白马，永怀兰芷奠馨香。
可怜汝辛苦支持，竟抛却慈母良人儿女童騃去也，吾家娣姒强半凋疏，将谓殷忧损年，则前死者其又何说	=>	重念这泡幻身世，倘悟澈冤亲萍水仙凡因果否耶，当日门庭几回桑海，敢吁上苍悔祸，把已往事聊作达观
可怜汝辛苦支持，竟抛却慈母良人儿女童騃去也，吾家娣姒强半凋疏，将谓殷忧损年，则前死者其又何说；	=>	重念这泡幻身世，倘悟澈冤亲萍水仙凡因果否耶，当日门庭几回桑海，敢吁上苍悔祸，把已往事聊作达观。
名将出名山想当年从学联会长到方面重寄铁马金戈声威震长白浩气塞沂蒙砥柱中流伟业千秋垂青史	=>	寒流咽寒水惊此日殒天南巨石丧北斗典型丹心碧血擘画著戎行荩谟施政治规模遗则神州六亿哭元勋
名将出名山想当年从学联会长到方面重案铁马金戈声威震长白浩气塞沂蒙砥柱中流伟业千秋垂史册	=>	寒流咽寒水惊此日顶南天巨石丧北斗典型丹心碧血擘画著戎行荩谟施政治规模遗训神州六亿哭元勋
名著九边，能洽斯民欢心，能得军卒死心，能戢强邻野心，爱士更多情，生不用封万户侯，荆州愿识	=>	冤沉千古，谓敌杀未临战，谓贼杀未逮雠，谓国杀未明罪，为公进一解，未敢竟兴三字狱，天理犹存
后尼山千五百年，笃生两先生，辟邪说，辩异端，道统天开，正所以下启紫阳，上承邹峄；	=>	环苏台数十万户，过此一瞻拜，黜浮华，崇实学，士风日起，庶不愧言游故里，泰伯遗封。
君本是爱国爱群、侠骨雄心第一流，嗟胡厌世，不堪忆巴山夜雨，岳麓秋风，与子同仇言尚在	=>	我近为读礼读律、暮楚朝秦数千里，悔未聚谈，最无奈陇坂云孤，洞庭月惨，问天无语泪偏流
君试思世变何如哉？横流沧海，频起大风波，河山带砺是谁家？愿诸生尝胆卧薪，每饭不忘天下事；	=>	士多为境遇所累耳！咬得菜根，才算奇男子，将相王侯宁有种？看前哲断齑画粥，读书全靠秀才时。
唉！夸又到一年秋，大好河山，泯泯棼棼，汔未回复旧观，顶礼转轮王，度己度他同解脱	=>	嘻！昔尝痛诸君死，有情箫笛，掩掩抑抑，相将共捃雄鬼，心依救世佛，在天在地各归来
唯 有 努 力 ， 向 名 校 进 军 百 炼 成 钢 唱 出 青 春 无 悔 。	=>	一 马 当 先 ， 圆 人 生 梦 想 半 载 奋 斗 笑 吟 三 年 等 待 。
四十年交好到老犹壮最难赤手成功万方衣被付与儿曹好模范惟自力乃获生存由来富厚场中几见飞黄上进	=>	五千里流亡相依为命不意刚肠招祸永别尘缘处分家事尚从容信暴敌必然败复料定凯旋门外会看扶榇东归
回翔枢阁，保障东南，系天下安危五十年，岿然鲁殿灵光，国粹赖公存，一代扶轮归大雅；	=>	圣主幼冲，老臣凋谢，遍海内讴思四百兆，渺矣曲江风度，时艰谁共济，后来补衮望诸君。
大 鱼 吃 小 鱼 ， 小 鱼 吃 虾 ， 虾 吃 水 ， 水 落 石 出 。	=>	溪 水 归 河 水 ， 河 水 归 江 ， 江 归 海 ， 海 阔 天 空 。
大雅宏达，是名翰林；清通简要，是真吏部；严明仁恕，是封疆重臣；遗爱长留荆楚地；	=>	论芸香俸，为前后辈；编花萼集，为同年生；订缟紵交，为吴中老友；伤心怕过栎存堂。
天 高 云 淡 金 菊 怒 放 竞 相 吐 香 有 情 相 送 南 征 雁 。	=>	霜 凉 气 爽 金 桂 绽 姿 影 浮 碧 湖 无 意 眷 恋 北 国 风 。
天下大事无可为，楚庄问鼎，周赧作台，茫茫奇祸逼人来，伉爽如君，厌世早经观物化；	=>	砥柱中流谁得似，屈原沉江，鲁连蹈海，察察洁行还自爱，艰难到此，舍身终是学前人。
天赐印心石屋，岂偶然哉，万卷书，五色笔，未从南岳千寻，知他年史馆评论，泰华恒嵩山并峙；	=>	帝嘉于国良臣，而今已矣，百世系，八龄儿，留得西江一脉，到此日哀声传播，泗淮河汉泪同倾。
好客如郑当时，犯难如翟义公，任侠如郭荀伯，昔年杯酒论交，送抱推襟，十载风云革命史；	=>	黄岗哭赵丹徒，石庄哭吴云梦，歇浦哭宋桃源，今日将星又陨，人亡国瘁，万家涕泪自由神。
嬉笑怒骂皆成文章，如我不卑不亢，不忮不求，不烦恼，不忧愁，说什么身外浮云、眼前幻景；	=>	丝竹翎毛供其娱乐，笑他为帝为王，为卿为相，为总统，为元首，还不是衣冠殉世，粉墨登场。
子 未 必 肖 孙 未 必 贤 屡 忝 科 名 只 为 老 年 娱 晚 景 。	=>	夫 岂 能 刚 妻 岂 能 顺 重 谐 花 烛 幸 邀 天 眷 锡 遐 龄 。
孔 夫 子 ， 关 夫 子 ， 两 位 夫 子 ， 圣 德 威 灵 同 传 万 世 。	=>	著 春 秋 ， 看 春 秋 ， 一 部 春 秋 ， 庙 堂 香 火 永 续 千 年 。
宣梵呗在东浙何盛哉若灵隐若净慈并此鼎足而三宝筏渡群生怕什么苦海孽河肯念弥陀都解脱	=>	辟禅关据西湖之胜也比鸡园比鹫岭或信地形无二幽坛忘世虑绊不住名缰利锁静参揭谛自逍遥
家无长物破屋偏逢惨雨凄风任凭他叠幛千重荆棘万垄教我要昂头挺背并扬胸乌云散去再振雄心飞彩凤	=>	腑有玑珠博闻更具敏思颖悟全靠你诗书满腹秃笔半橱问谁能入脑偷辞兼窃赋逆境迁时穷倾赤胆绘宏图
寄以腹心，倚作股肱，使我北顾无忧，是良将，亦良朋，渺焉寡俦，古谊若龟鉴，忠肝若金石	=>	脑涂郊垌，血润原野，吊公西向而哭，痛同袍，与同泽，惨哉浩劫，君子化猿鹤，小人化虫沙
小宗人仅千家，念析支分族，仍共本源，害勿交让，利勿交征，仁义而已矣，孝弟而已矣	=>	大祭岁惟一举，极展诚抒敬，不过信宿，孚可用礿，享可用簋，玉帛云乎哉，钟鼓云乎哉
少而惇敏品题孽海烟花平生致力最勤在从事欧西名著移译绍介工夫惟公足夸近世新旧两词坛各占片席	=>	出其余绪整理乡邦财赋一事厥功尤伟实亲定江苏教育经费独立办法愿我身肩本省文代诸同志长毋相忘
尧舜生，汤武净，五霸七雄丑末耳，伊尹太公便算一只耍手，其余拜将封侯，不过摇旗呐喊称奴婢；	=>	四书白，六经引，诸子百家杂说也，杜甫李白会唱几句乱弹，此外咬文嚼字，大都沿街乞食闹莲花。
屈指数近日英雄惟公有提剑百战功综厥生平成转为败败又转为成其毅力决心前不见古人后不见来者	=>	惊心是劫余局阵中国无一片干净土发为吊唁慨当以慷慷尤当以慨定开来继往明以泣风雨幽以泣鬼神
岛中有岛，湖外有湖，通此州折画桥，览沿堤老柳，十顷荷花，食莼菜香，如此园林，四洲游遍未尝见；	=>	霸业销烟，禅心止水，阅尽千年陈迹，当朝晖暮霭，春煦秋阴，山青水绿，坐忘人世，万方同慨更何之。
巳 岁 不 寻 常 ， 欣 瞻 祖 国 繁 荣 ， 处 处 管 弦 歌 盛 世 。	=>	蛇 年 真 雅 化 ， 喜 见 城 乡 活 跃 ， 家 家 诗 酒 贺 新 年 。
廿年来台座春风，侍依湘水，俯念亲俱老矣，不辞金粟之贻，只深惭疲马修途，无自酬恩负知已；	=>	一月半江城暮雪，归立程门，见问子其饿乎，特致枣糕之饷，今猛听啼鴞远树，为公流涕感平生。
张 相 如 蔺 相 如 司 马 相 如 名 相 如 人 相 如 其 实 不 如 。	=>	童 无 忌 叟 无 忌 男 女 无 忌 言 无 忌 行 无 忌 百 无 禁 忌 。
心 悬 八 阵 图 ， 初 对 策 ， 再 出 师 ， 共 仰 神 明 传 将 略 。	=>	目 击 三 分 鼎 ， 东 连 吴 ， 北 拒 魏 ， 常 怀 谨 慎 励 臣 躬 。
心 远 天 地 宽 ， 把 酒 凭 栏 ， 听 玉 笛 梅 花 ， 此 时 落 否 。	=>	我 辞 江 汉 去 ， 推 窗 寄 概 ， 问 仙 人 黄 鹤 ， 何 日 归 来 。
忆 往 昔 ， 卧 薪 尝 胆 ， 几 度 春 秋 踏 寒 暑 ， 相 顾 茫 然 。	=>	看 今 朝 ， 瀚 海 泛 舟 ， 万 里 长 风 溯 清 波 ， 自 主 沉 浮 。
忆昔伟人中流击水粤海品茶大渡吟雪长城咏梅马背诗人兴一代风骚震古烁今当初挥手从兹去	=>	看今游客小院寻芳韶峰仰月荷池掬露滴洞漱泉天资骄子纪百年冥诞束花酹酒此际捧心向日来
忧时从不后人办文化机关组救亡团体力争民主痛掊独裁那怕冤狱摧残肖小枉徒劳更显先生正气	=>	历史终须前进开国事会议建联合政府准备反攻驱逐日寇正待吾辈努力哲人今逝世倍令后死伤神
恸生不逢辰，母在堂，妾在帷，弱女在闺，更嗣续犹虚，剧怜朝露先零，定卜此时难瞑目	=>	叹我无知己，家多故，身多病，命途多舛，信友朋最笃，岂料晨星又落，相期后至共论心
情不容、理不容、法不容，恶贯满盈，神容不容？只恐拈香求神，神守正无私，扮犯媚神，神行罚无故；	=>	打不怕、押不怕、枷不怕，阴律森严，你怕不怕？此时孽镜照你，你有口难辩，铁锁拘你，你插翅难飞。
惠 民 应 遵 千 章 法 彩 龙 起 舞 迎 春 到 花 发 三 春 春 汛 早 。	=>	兴 国 须 读 三 卷 书 金 凤 腾 飞 报 喜 来 楫 击 四 海 海 潮 高 。
扒 扒 扒 ， 扒 扒 扒 ， 扒 扒 扒 ， 扒 到 龙 门 三 级 浪 。	=>	唱 唱 唱 ， 唱 唱 唱 ， 唱 唱 唱 ， 唱 出 仙 姬 七 姐 歌 。
扒 扒 扒 ， 扒 扒 扒 ， 扒 扒 扒 ， 扒 到 龙 门 叁 级 浪 。	=>	唱 唱 唱 ， 唱 唱 唱 ， 唱 唱 唱 ， 唱 出 仙 姬 七 姐 歌 。
抱定共产主义与帝制派奋斗与官僚派奋斗有志竟成且看贪官污吏土豪劣绅誓扫若侪登鬼录	=>	联合各族同胞遵马克思遗言遵孙总理遗言余勇可贾从此东欧西亚南非北美尽归吾党作神交
指 数 函 数 ， 对 数 函 数 ， 三 角 函 数 ， 数 数 含 辛 茹 苦 。	=>	平 线 直 线 ， 交 叉 直 线 ， 异 面 直 线 ， 线 线 意 切 情 深 。
指 数 函 数 ， 对 数 函 数 ， 三 角 函 数 ， 数 数 含 辛 茹 苦 。	=>	平 行 直 线 ， 交 叉 直 线 ， 异 面 直 线 ， 线 线 意 切 情 真 。
揲灵蓍之草以成文，天数五，地数五，五五二十五数，数生于道，道合元始天尊，尊无二上	=>	截嶰竹之筒以协律，阳声六，阴声六，六六三十六声，声闻于天，天生嘉靖皇帝，帝统万年
数 载 寒 窗 多 少 风 雨 多 少 汗 水 喜 看 今 朝 结 硕 果 。	=>	几 度 春 秋 无 限 憧 憬 无 限 希 冀 期 盼 明 天 成 大 器 。
敲 枰 竞 技 ， 迭 出 奇 招 ， 步 步 藏 玄 机 ， 亚 运 精 神 眉 上 写 。	=>	斗 智 争 雄 ， 频 施 妙 着 ， 时 时 添 毅 力 ， 风 云 气 度 手 中 谈 。
斯人而有斯疾，岂老聃戒不为祸始，不为福先，醇酒智免，羽扇忠勤，所谓鞠躬尽瘁，死而后已	=>	忧国乃忘忧家，如诸葛誓身无余财，家无余帛，范金图形，连山封冢，佥云崇德报功，礼亦宜之
方 若 棋 盘 ， 圆 若 棋 子 ， 动 若 棋 生 ， 静 若 棋 死 。	=>	方 若 行 义 ， 圆 若 用 智 ， 动 若 聘 才 ， 静 若 得 意 。
旭 日 融 融 ， 看 碧 水 霞 飞 ， 春 江 鱼 跃 ， 地 富 民 殷 歌 盛 世 。	=>	红 旗 猎 猎 ， 喜 群 英 胆 壮 ， 志 士 情 浓 ， 龙 腾 虎 跃 续 长 征 。
昔时未读五车书，雅量清心，温如玉，冷如冰，是大将实是大儒，使天下讲道论文人愧死	=>	此日竟成千秋业，忠肝义胆，重于山，坚于石，忘吾身不忘吾主，任世间寡廉鲜耻辈偷生
昔时未读五车书，雅量清心，温如玉，冷如冰，是大将实是大儒，使天下讲道论文人愧死	=>	此日竟成千载业，忠肝义胆，重于山，坚于石，忘我身不忘我主，任世间寡廉鲜耻辈偷生
春 来 处 处 绿 成 海 两 手 茧 花 芳 岁 月 商 业 繁 荣 迎 客 笑 。	=>	花 放 枝 枝 红 到 楼 一 身 农 艺 富 山 乡 药 都 珍 草 祝 人 康 。
春 来 秋 去 ， 你 来 我 往 ， 终 究 缘 聚 缘 散 明 日 难 期 。	=>	日 升 月 落 ， 夜 梦 晨 醒 ， 无 论 是 真 是 假 执 迷 不 悔 。
春 风 夏 雨 秋 月 冬 雪 ， 一 年 四 季 ， 季 季 皆 有 美 景 。	=>	唐 诗 宋 词 元 曲 明 文 ， 名 满 历 朝 ， 朝 朝 尽 出 才 子 。
春 风 夏 雨 秋 月 冬 雪 ， 一 年 四 季 ， 季 季 皆 有 美 景 。	=>	红 梅 白 兰 绿 竹 黄 菊 ， 满 庭 芬 芳 ， 样 样 可 作 画 题 。
普天同庆本晋颂谰言料想斗签岩畔毗条河边也来参加同庆那当庆庆庆当庆庆当庆当庆当当庆	=>	举国若狂表全民热烈为问沈阳城中山海关外未必依然若狂这才狂狂狂懂狂狂懂狂懂狂懂懂狂
智不惑，仁不忧，勇不惧，推翻帝制，计出万全，如公建筑之宏，仅称卫桑梓功，犹藐乎小	=>	捍大患，定大策，决大疑，有数人才，又弱一个，恨我赴援太晚，既上为国家惜，复哭其私
最好四月天，尝听此七级台前，泉声乎？鸟声乎？钟磬声乎？高下悠扬，引我去游仙境里；	=>	偶登三教洞，试看那万家城外，车来者，马来者，木履来者，贫富贵贱，无人不在戏场中。
月 明 星 稀 双 双 倩 影 相 依 相 离 心 心 相 印 话 情 爱 。	=>	柳 残 荷 败 对 对 寒 蝉 欲 鸣 欲 断 目 目 对 视 悲 不 安 。
有 事 者 ， 事 竟 成 ； 破 釜 沉 舟 ， 百 二 秦 关 终 归 楚 。	=>	苦 心 人 ， 天 不 负 ； 卧 薪 尝 胆 ， 三 千 越 甲 可 吞 吴 。
杀同种是湖南，救同种又是湖南，倘中原起事，应首湖南，义士竟轻生，双棺赎得湖南罪	=>	兼夷狄成汉族，奴夷狄不成汉族，痛建虏入关，已亡汉族，国民不畏死，一举能张汉族责
枇杷山头听两江流水唱不尽古今豪情蔓子悲歌玉珍遗恨邹容亮节闇公壮志更高吟一曲泌园春响彻寰宇	=>	红星亭畔看万家灯火交映出南北风光龙门皓月海棠烟雨鹅岭秀色嘉陵夕照还联缀千串夜明珠辉耀星空
果 有 因 ， 因 有 果 ， 有 果 有 因 ， 种 甚 因 结 甚 果 。	=>	心 即 佛 ， 佛 即 心 ， 即 心 即 佛 ， 欲 求 佛 先 求 心 。
栏 杆 外 滚 滚 波 涛 ， 任 千 古 英 雄 ， 挽 不 住 大 江 东 去 。	=>	窗 户 间 堂 堂 日 月 ， 尽 四 时 凭 眺 ， 几 曾 见 黄 鹤 西 来 。
树 雄 心 ， 做 灵 魂 工 程 师 ， 为 时 代 造 就 一 代 新 秀 。	=>	立 壮 志 ， 当 人 民 好 园 丁 ， 给 祖 国 培 养 四 化 人 才 。
